[0.28626758 0.         0.70431802],[0.42068169 0.20922903 0.69925281],[0.57427463 0.43737352 0.65103093],[0.67320989 0.65085297 0.59789986],[0.76821287 0.81362039 0.55015995],[0.72501476 0.2866472  0.55966212],[0.76919492 0.62203259 0.4756547 ],[0.66493955 0.74585393 0.45413036],[0.57910739 0.74414873 0.45346048],[0.63489971 0.21545411 0.5143843 ],[0.59991025 0.62612718 0.4445409 ],[0.4853275  0.71133845 0.45442777],[0.42812865 0.66960368 0.46228756],[0.50498234 0.17312442 0.47053781],[0.45728139 0.56909187 0.4099035 ],[0.36922744 0.64084335 0.44188337],[0.32944743 0.60898915 0.46491896],[0.36381885 0.1605298  0.42794665],[0.32982646 0.48108377 0.39457205],[0.28030547 0.56695895 0.42316734],[0.25594124 0.56709692 0.44586056]
[0.29911349 0.         0.6628234 ],[0.42143236 0.2160507  0.66634118],[0.5620545  0.43679375 0.62849442],[0.64644509 0.65309066 0.58167641],[0.72363785 0.82747201 0.54062061],[0.72463067 0.31535222 0.56504259],[0.74931084 0.64767723 0.48257359],[0.64027705 0.74486964 0.44697909],[0.55556327 0.72358639 0.4366677 ],[0.64708804 0.2501937  0.52152861],[0.59422177 0.63414977 0.45967455],[0.47906148 0.70080228 0.46050196],[0.41960908 0.65343519 0.46212091],[0.53007093 0.20816838 0.47720024],[0.46906738 0.57630493 0.42722679],[0.37743284 0.6226209  0.45439856],[0.33780477 0.58458286 0.47432804],[0.39762419 0.19117959 0.43361122],[0.35096026 0.48933569 0.41245974],[0.29788857 0.52721899 0.44169362],[0.27670555 0.4971151  0.46403677]
[0.30676808 0.         0.63919817],[0.42225215 0.233219   0.64944233],[0.5485481  0.44847988 0.617577  ],[0.62711849 0.64115327 0.57460022],[0.69238233 0.80719279 0.53748702],[0.72523708 0.33538757 0.5660312 ],[0.72747432 0.65557197 0.48759518],[0.61699607 0.73613687 0.45285867],[0.53324454 0.71006374 0.44389913],[0.65771664 0.27274065 0.52302153],[0.59393424 0.63800393 0.46529666],[0.47417648 0.68917856 0.46637241],[0.41013164 0.64132823 0.47024309],[0.55195666 0.22849356 0.47875358],[0.48200322 0.57936323 0.43041404],[0.38454791 0.61039557 0.45796806],[0.33555135 0.56698314 0.48066825],[0.42942852 0.20287792 0.43530455],[0.38076397 0.48170714 0.41399825],[0.31706117 0.52052105 0.44259044],[0.28270704 0.50120193 0.46668022]
[0.3323879  0.         0.61442746],[0.45270829 0.20804994 0.63412602],[0.55775408 0.42986656 0.60805664],[0.6157583  0.63022583 0.57014744],[0.66556391 0.78703857 0.53808663],[0.70220035 0.35693936 0.55889726],[0.70338276 0.65903478 0.49543723],[0.61185777 0.70914112 0.46697071],[0.54866784 0.66621785 0.45851514],[0.63652793 0.31602005 0.51407426],[0.57197052 0.64553579 0.47043134],[0.47022777 0.6604168  0.47172571],[0.4274347  0.59751801 0.47318287],[0.53697123 0.28522829 0.46971385],[0.47761738 0.59834947 0.43675489],[0.39379165 0.60465878 0.465206  ],[0.36090736 0.55168331 0.48515049],[0.4219281  0.26770419 0.42655826],[0.37831712 0.5119061  0.4186439 ],[0.32661428 0.52454917 0.4502247 ],[0.30741074 0.48991604 0.47366919]
[0.33472197 0.         0.61427029],[0.47799048 0.17025855 0.63107068],[0.59318592 0.38579977 0.60519815],[0.65398545 0.59178812 0.56892164],[0.70152484 0.74914743 0.53874143],[0.69649998 0.33304696 0.55440203],[0.71502615 0.61862467 0.49191629],[0.62850486 0.68314208 0.45786799],[0.56678966 0.66456431 0.44292564],[0.61036903 0.32127839 0.51084708],[0.56695473 0.65144078 0.47058316],[0.48585924 0.66765729 0.46805969],[0.45778186 0.60167311 0.46342895],[0.49779983 0.31688271 0.46865445],[0.44621772 0.63412203 0.4435764 ],[0.38444662 0.62126909 0.47490695],[0.37207467 0.54817601 0.49232688],[0.37512201 0.32322747 0.42640388],[0.33700979 0.57819552 0.42579835],[0.3013263  0.5551215  0.46283892],[0.29680888 0.48458418 0.48726114]
[0.28755947 0.         0.63715395],[0.47732512 0.08285206 0.62968054],[0.64646591 0.2897414  0.5924002 ],[0.7454499  0.51131666 0.55600592],[0.78064514 0.6554833  0.53208296],[0.66472127 0.2822139  0.50854601],[0.72248703 0.64707281 0.44558894],[0.66168522 0.64132478 0.43312201],[0.61740505 0.53929386 0.43807321],[0.53276939 0.32867677 0.4821371 ],[0.57661219 0.7142757  0.44378114],[0.52607423 0.66326287 0.47006837],[0.49847776 0.53019018 0.48751477],[0.39399406 0.38084116 0.45925506],[0.44022024 0.73671643 0.44537674],[0.40637723 0.67074086 0.50574929],[0.38697219 0.54424668 0.54014338],[0.26261307 0.42608871 0.43468196],[0.30686736 0.69803538 0.44152924],[0.28983857 0.63306283 0.49259837],[0.27543961 0.52456368 0.52451083]
[0.1213462 0.        0.5999273],[3.78003352e-01 3.92478327e-04 6.17738127e-01],[0.57759953 0.13452718 0.60465223],[0.70935022 0.30155266 0.58737246],[0.8100842  0.42593369 0.58165512],[0.5478117  0.23672817 0.50229906],[0.77097569 0.57455549 0.4427641 ],[0.75135633 0.56103547 0.43703971],[0.67594813 0.47174802 0.45570919],[0.42421745 0.3773283  0.47467464],[0.64468737 0.7307992  0.42233584],[0.62270494 0.66123765 0.44577671],[0.5534316  0.54061476 0.47968458],[0.29941708 0.49244192 0.45335967],[0.49432491 0.81159692 0.43034928],[0.48619988 0.72917009 0.48908336],[0.42886527 0.62136513 0.5395271 ],[0.18254459 0.57059064 0.43436263],[0.34223546 0.82445218 0.44410806],[0.36148375 0.76450589 0.50399268],[0.31741235 0.66942415 0.55358815]
[0.01049684 0.09898574 0.64756263],[0.25024685 0.         0.59477881],[0.47650985 0.07585413 0.55326831],[0.66176348 0.22354453 0.52511454],[0.8240462  0.32020614 0.50738787],[0.36710034 0.29079452 0.47751188],[0.66026524 0.50638246 0.40395683],[0.75903355 0.45420449 0.39178052],[0.75848279 0.37669476 0.40406835],[0.28629563 0.48796205 0.48855035],[0.64416086 0.68808696 0.42356119],[0.70298028 0.56489576 0.44522705],[0.65440056 0.46052265 0.47654327],[0.22194102 0.63622084 0.501707  ],[0.55695359 0.81176072 0.46171642],[0.59109644 0.69104243 0.51540299],[0.53953455 0.60190919 0.56552891],[0.1734252  0.73108476 0.51182119],[0.42344495 0.88847031 0.49583086],[0.47890932 0.82610223 0.53506919],[0.45891247 0.7652753  0.57361182]
[0.         0.17586411 0.71762517],[0.20154986 0.05369336 0.62928057],[0.40713374 0.06558204 0.56750154],[0.5765499  0.16839271 0.52647208],[0.71376639 0.25139459 0.4958225 ],[0.28325154 0.40328304 0.48211718],[0.56505798 0.50667437 0.39038507],[0.68301533 0.41709254 0.36931155],[0.70710349 0.33169314 0.3737856 ],[0.24816066 0.61818968 0.50418089],[0.60610919 0.68767788 0.41646541],[0.70214055 0.52715175 0.43153919],[0.68087714 0.40337399 0.45817607],[0.2373743  0.75426987 0.52674861],[0.58202503 0.80111802 0.45755437],[0.66883106 0.63869505 0.49342949],[0.65550977 0.52211186 0.5347629 ],[0.24785485 0.8138152  0.54527762],[0.51229947 0.89395484 0.50160903],[0.6069132  0.78467514 0.5240326 ],[0.61447654 0.68129681 0.55392255]
[0.         0.15646051 0.68570667],[0.24951814 0.10710494 0.64686674],[0.42137964 0.17492244 0.59647048],[0.54034563 0.21309747 0.53889045],[0.6176151  0.25284546 0.48804528],[0.35870089 0.78616712 0.61113922],[0.61732235 0.82375875 0.51851485],[0.69464562 0.58457876 0.452865  ],[0.66517934 0.40876852 0.41657972],[0.30696637 0.80080689 0.57862234],[0.61614131 0.84456059 0.49017624],[0.69828948 0.59036314 0.45221524],[0.66147588 0.41837188 0.43885543],[0.26857823 0.71338706 0.53852543],[0.56678046 0.77318575 0.45220264],[0.6460549  0.548693   0.43913836],[0.61337941 0.3844241  0.44606555],[0.25177366 0.54477802 0.49612319],[0.47703864 0.57209217 0.41366376],[0.59635277 0.4569151  0.39697908],[0.63246218 0.34471831 0.40235433]
