


[ 4.54077154e-01  4.70698357e-01 -4.31393410e-08],[0.44948274 0.49346209 0.00086191],[0.45324397 0.50998527 0.00156913],[0.46008933 0.51515317 0.00163831],[0.46585959 0.51131535 0.00174713],[0.46875185 0.51462978 0.00428914],[0.46677288 0.51978046 0.00323156],[0.46216723 0.51511097 0.00066238],[ 0.45931336  0.50924009 -0.00105699],[0.47490531 0.50761908 0.00309431],[0.47171369 0.51147854 0.00343117],[0.4669967  0.50815988 0.00149061],[ 4.64253247e-01  5.03257096e-01 -1.03008169e-04],[0.47848764 0.49839431 0.00174719],[0.47532094 0.50274533 0.00237774],[0.47058091 0.50078619 0.00192445],[0.46770138 0.4968116  0.00135213],[4.80077684e-01 4.89156067e-01 3.60250619e-04],[0.47805062 0.49294844 0.00169906],[0.47418681 0.49173167 0.00326993],[0.47162402 0.48865086 0.00445342]
[4.10118341e-01 5.45004010e-01 5.03088131e-08],[ 0.42049423  0.53651559 -0.00408085],[ 0.43370217  0.53715914 -0.00669627],[ 0.44371557  0.54205984 -0.00813351],[ 0.45169154  0.54508728 -0.00941172],[ 0.42610216  0.54206586 -0.01250279],[ 0.43555659  0.5503518  -0.01717474],[ 0.44399005  0.55602777 -0.01911422],[ 0.45075402  0.55994093 -0.02009738],[ 0.42159542  0.55292451 -0.01231298],[ 0.4328928   0.5622716  -0.01643754],[ 0.44326705  0.56721061 -0.01780192],[ 0.45145616  0.56990337 -0.01896837],[ 0.41890424  0.56193542 -0.01194648],[ 0.42961845  0.57211328 -0.01585669],[ 0.44013074  0.576235   -0.01744872],[ 0.44838735  0.57732886 -0.01826038],[ 0.41763204  0.56865549 -0.01161156],[ 0.4274419   0.57696408 -0.01506858],[ 0.43575731  0.57940364 -0.01655654],[ 0.44259611  0.57941425 -0.01741877]
[4.08294588e-01 5.42419851e-01 2.43511984e-08],[ 0.41714969  0.5330444  -0.00443581],[ 0.42972958  0.5322032  -0.00705537],[ 0.43972278  0.5361743  -0.00844574],[ 0.44778711  0.53826684 -0.00966505],[ 0.42061019  0.53809881 -0.01291793],[ 0.42982543  0.54522854 -0.01755594],[ 0.43860403  0.54936743 -0.01926419],[ 0.44590986  0.55145365 -0.02007628],[ 0.41722646  0.54915631 -0.0126122 ],[ 0.42953286  0.55671066 -0.01708891],[ 0.44121325  0.55964935 -0.01858403],[ 0.45084506  0.56026089 -0.01974602],[ 0.4159776   0.55828738 -0.01213457],[ 0.42771071  0.5663861  -0.01660647],[ 0.43881378  0.56886029 -0.01855497],[ 0.44783863  0.5684672  -0.01940324],[ 0.41631973  0.56502551 -0.01166845],[ 0.42699996  0.57160217 -0.01562135],[ 0.43614411  0.57304817 -0.0174346 ],[ 0.44380361  0.57227558 -0.01844865]
[4.08558041e-01 5.40941000e-01 3.69226854e-08],[ 0.4170137   0.5334543  -0.00567545],[ 0.42771262  0.53457201 -0.00910378],[ 0.43758047  0.53745818 -0.01110003],[ 0.44498241  0.53649545 -0.01291379],[ 0.41798952  0.53943449 -0.01531441],[ 0.43053553  0.54511648 -0.02050251],[ 0.44082147  0.54805154 -0.02224923],[ 0.44922227  0.54908627 -0.02310218],[ 0.41514409  0.54883116 -0.01444274],[ 0.42805412  0.55495608 -0.01997017],[ 0.43953261  0.55727327 -0.02142482],[ 0.4485305   0.55750477 -0.02241059],[ 0.41459325  0.55651945 -0.01349475],[ 0.42624292  0.56369919 -0.01886116],[ 0.43763793  0.56557506 -0.02082314],[ 0.44667846  0.56475198 -0.02156326],[ 0.41617692  0.56174099 -0.01265973],[ 0.42597073  0.56863093 -0.01737195],[ 0.43477747  0.57010961 -0.01963942],[ 0.44213012  0.56889582 -0.02090389]
[ 4.08249378e-01  5.37384570e-01 -5.08234912e-08],[ 0.41917685  0.52717751 -0.006517  ],[ 0.43102023  0.5241372  -0.01118913],[ 0.44153735  0.52475297 -0.01452245],[ 0.44950834  0.52441323 -0.01770106],[ 0.41887131  0.53753519 -0.01656638],[ 0.42834067  0.54085988 -0.0230575 ],[ 0.43762577  0.54200608 -0.02627342],[ 0.44610754  0.54214251 -0.02815523],[ 0.4169904   0.54908299 -0.01577656],[ 0.42942649  0.55294484 -0.02207944],[ 0.44055176  0.55357796 -0.02394052],[ 0.44986069  0.55282301 -0.02543388],[ 0.4176245   0.55909729 -0.01495829],[ 0.43012691  0.56298733 -0.02127758],[ 0.44112203  0.56295419 -0.02299905],[ 0.45064798  0.56110716 -0.02368888],[ 0.41956654  0.56551081 -0.01439389],[ 0.43033591  0.56891978 -0.01952871],[ 0.43853897  0.56852531 -0.02112259],[ 0.44584614  0.56653368 -0.02201189],[4.10835803e-01 5.40923119e-01 3.57527163e-09],[ 0.41727486  0.5326643  -0.00637447],[ 0.42687953  0.53237313 -0.01034465],[ 0.43574917  0.53594089 -0.01271777],[ 0.44343513  0.53896421 -0.01491585],[ 0.41916475  0.54166919 -0.01713509],[ 0.43131343  0.54591507 -0.02309883],[ 0.44189623  0.54770416 -0.02534558],[ 0.45043704  0.54822469 -0.02651224],[ 0.41738945  0.55153137 -0.01618995],[ 0.43011153  0.55709124 -0.0225248 ],[ 0.44231415  0.55784231 -0.0243449 ],[ 0.45133844  0.5564273  -0.02537944],[ 0.41753024  0.55858123 -0.01512503],[ 0.42865095  0.56486404 -0.02113685],[ 0.44029409  0.56554091 -0.02333249],[ 0.44934183  0.56386268 -0.02413827],[ 0.41905913  0.56255752 -0.01420302],[ 0.42751566  0.5680272  -0.01989288],[ 0.43638083  0.56929433 -0.02254499],[ 0.44384435  0.56844389 -0.02377545]
[ 4.11434889e-01  5.40938973e-01 -4.11302032e-08],[ 0.41936654  0.53071094 -0.00668518],[ 0.4293544   0.52717501 -0.01113343],[ 0.43893191  0.52940625 -0.01411644],[ 0.44714615  0.5307703  -0.01676236],[ 0.42025149  0.54035264 -0.01536346],[ 0.42956492  0.54586172 -0.0211638 ],[ 0.43826374  0.54788673 -0.02370784],[ 0.44576925  0.54818249 -0.02511316],[ 0.41950133  0.55211008 -0.01397557],[ 0.43188411  0.55633712 -0.01950654],[ 0.4429135   0.55685842 -0.02087314],[ 0.45155865  0.55508608 -0.0219538 ],[ 0.42060632  0.56097341 -0.012667  ],[ 0.43265668  0.56515419 -0.01802361],[ 0.44317967  0.5647738  -0.01935161],[ 0.45164755  0.5621866  -0.01982347],[ 0.42297649  0.56608558 -0.01164551],[ 0.43314415  0.57010418 -0.01633542],[ 0.44122028  0.56957459 -0.01807218],[ 0.44815573  0.56711644 -0.01894656],[ 4.12449479e-01  5.42757750e-01 -7.31944372e-09],[ 0.41835564  0.53247148 -0.00832245],[ 0.42681423  0.5303793  -0.01343204],[ 0.43414876  0.5337373  -0.01664953],[ 0.4409509   0.53608459 -0.01949534],[ 0.42166689  0.54280084 -0.01736577],[ 0.43383297  0.54848236 -0.02337804],[ 0.44308212  0.54971641 -0.02576678],[ 0.44979185  0.5486654  -0.02686958],[ 0.42019784  0.55315447 -0.01528846],[ 0.43320125  0.5588783  -0.02107552],[ 0.44361544  0.55813038 -0.02245787],[ 0.45097136  0.55593175 -0.02315196],[ 0.42002094  0.55989087 -0.0133721 ],[ 0.43182045  0.56585562 -0.0186595 ],[ 0.44184709  0.56450438 -0.01980601],[ 0.4490431   0.5619787  -0.02004709],[ 0.42114952  0.56336176 -0.01184397],[ 0.43060747  0.56799412 -0.01658321],[ 0.43864167  0.56756741 -0.01822464],[ 0.44477999  0.56582916 -0.0188052 ]
[ 4.15034711e-01  5.43103933e-01 -6.74334766e-09],[ 0.42049018  0.53771436 -0.00675851],[ 0.42849416  0.53666121 -0.01103266],[ 0.43624765  0.53756386 -0.01396228],[ 0.44274044  0.53723162 -0.01662223],[ 0.42202467  0.55291212 -0.01309111],[ 0.43201968  0.55934602 -0.01868228],[ 0.44098186  0.56017458 -0.02178643],[ 0.44827777  0.55846351 -0.02358981],[ 0.42171052  0.55875117 -0.01182963],[ 0.43203259  0.56478858 -0.01753637],[ 0.44183993  0.5640223  -0.01977728],[ 0.44925463  0.56116658 -0.02105768],[ 0.42254397  0.56185496 -0.01080739],[ 0.43238077  0.56727076 -0.01582915],[ 0.44164461  0.56616819 -0.01734853],[ 0.44889903  0.56326985 -0.01785934],[ 0.42435202  0.56240332 -0.01015614],[ 0.43240079  0.56628591 -0.01456968],[ 0.43972749  0.56655556 -0.01630679],[ 0.44598827  0.56525499 -0.01701169]
[ 4.32939708e-01  5.60891807e-01 -1.20005836e-07],[ 0.4345035   0.54486525 -0.00846458],[ 0.43842766  0.53452957 -0.01482058],[ 0.44410223  0.53040791 -0.01954726],[ 0.44937703  0.52785742 -0.02435343],[ 0.42602044  0.55195379 -0.02022223],[ 0.43011519  0.54941821 -0.02763527],[ 0.4374283   0.54382777 -0.03257734],[ 0.44373888  0.53859162 -0.03583485],[ 0.42719981  0.56189948 -0.01893958],[ 0.43445989  0.56528014 -0.02506451],[ 0.4434599   0.56166744 -0.02731267],[ 0.45006761  0.55733937 -0.02964276],[ 0.43086341  0.57007986 -0.01756416],[ 0.43912914  0.57289904 -0.02351847],[ 0.4480927   0.56886101 -0.02473396],[ 0.45520267  0.5643419  -0.02560847],[ 0.43460867  0.57605791 -0.01661169],[ 0.44252127  0.5780133  -0.02081919],[ 0.44902587  0.57522887 -0.02090513],[ 0.45419192  0.5711711  -0.02115227],[4.19466138e-01 5.46927154e-01 1.71040586e-08],[ 0.42200327  0.54174429 -0.01142459],[ 0.42764547  0.53959346 -0.01900955],[ 0.4339644   0.54010719 -0.02403599],[ 0.43898138  0.53938544 -0.02874859],[ 0.42149067  0.5532642  -0.022624  ],[ 0.42555583  0.55898738 -0.03066034],[ 0.43130192  0.56130838 -0.03478273],[ 0.43664518  0.560844   -0.03711352],[ 0.42185935  0.56150436 -0.01944998],[ 0.42843738  0.56866837 -0.02733449],[ 0.43729952  0.5700193  -0.03019636],[ 0.4443858   0.56762695 -0.03203677],[ 0.42347705  0.56663018 -0.0164967 ],[ 0.43052825  0.57243264 -0.02327987],[ 0.4391458   0.57243127 -0.02548639],[ 0.44571659  0.5695287  -0.02661476],[ 0.42582154  0.56855643 -0.01415714],[ 0.43161151  0.57258987 -0.01967007],[ 0.43788815  0.57282931 -0.02208278],[ 0.44287345  0.57098216 -0.02346141]
[ 4.48981613e-01  5.45015633e-01 -5.96256413e-08],[ 0.4442108   0.5418911  -0.00586012],[ 0.43952444  0.54480237 -0.01038539],[ 0.43843597  0.5507955  -0.01488441],[ 0.43930712  0.55659485 -0.01973   ],[ 0.42338991  0.55316186 -0.00650011],[ 0.4257766   0.56960487 -0.01452919],[ 0.43313134  0.57455301 -0.01989596],[ 0.44045544  0.57179463 -0.0223238 ],[ 0.42382941  0.56131017 -0.00654481],[ 0.42808813  0.57910877 -0.01461939],[ 0.437942    0.58128411 -0.01784465],[ 0.44585744  0.57547414 -0.01837309],[ 0.42607036  0.56790441 -0.00749521],[ 0.43103775  0.58471805 -0.0157219 ],[ 0.4418613   0.58406258 -0.01635358],[ 0.44976461  0.57671607 -0.01465402],[ 0.42970991  0.57154918 -0.00889013],[ 0.43382448  0.58550936 -0.01573051],[ 0.44195327  0.58538777 -0.01600751],[ 0.44842398  0.57982415 -0.01431867]
[ 4.25669074e-01  5.50354540e-01 -7.38406811e-08],[ 0.42469144  0.54528946 -0.0114084 ],[ 0.42821783  0.54371166 -0.01824968],[ 0.43567181  0.5425843  -0.02337317],[ 0.44228733  0.54328638 -0.02773831],[ 0.42555669  0.57544219 -0.01538828],[ 0.42688459  0.58614337 -0.02357492],[ 0.43281317  0.58278972 -0.0292678 ],[ 0.43952054  0.57656145 -0.03284498],[ 0.43324697  0.58138776 -0.01301018],[ 0.43674889  0.59337282 -0.02143039],[ 0.44428748  0.58796614 -0.02548236],[ 0.44966927  0.57898349 -0.02759009],[ 0.44084281  0.58284914 -0.01147908],[ 0.44558373  0.59295142 -0.0184288 ],[ 0.45067158  0.58850962 -0.02055432],[ 0.45430157  0.58151048 -0.02107438],[ 0.44709864  0.58050138 -0.01082236],[ 0.45188937  0.58646673 -0.0152658 ],[ 0.45536926  0.58480418 -0.01610309],[ 0.45738769  0.58025992 -0.01610805]
[ 4.21072334e-01  5.50042689e-01 -1.01287583e-08],[ 0.42068958  0.54939026 -0.01178677],[ 0.42422339  0.55063069 -0.01912368],[ 0.43051913  0.55264771 -0.02486445],[ 0.4365249  0.5544166 -0.0297291],[ 0.42148787  0.58071458 -0.01352236],[ 0.42574713  0.59426737 -0.02092347],[ 0.43298686  0.59339005 -0.0260438 ],[ 0.43867794  0.58849967 -0.0286909 ],[ 0.42529637  0.58344549 -0.01017776],[ 0.43054941  0.59769666 -0.01639046],[ 0.43771848  0.59636497 -0.01950107],[ 0.44240102  0.59033495 -0.02086486],[ 0.42937857  0.5836001  -0.00793085],[ 0.4348962   0.59699261 -0.01308077],[ 0.44126761  0.59504968 -0.01470663],[ 0.44532022  0.589827   -0.01493054],[ 0.43348959  0.58181733 -0.00662278],[ 0.4384563   0.59180862 -0.01010545],[ 0.4434416   0.59187406 -0.0110867 ],[ 0.44681525  0.58858591 -0.0111145 ]
[ 4.20534670e-01  5.52375257e-01 -1.78815682e-08],[ 0.424364    0.55332714 -0.01125487],[ 0.43026003  0.56078428 -0.01650079],[ 0.43656006  0.56977671 -0.01979992],[ 0.44116163  0.57859325 -0.0218022 ],[ 0.41783753  0.58335984 -0.0116067 ],[ 0.42006445  0.60014546 -0.01744223],[ 0.42769679  0.600658   -0.02091087],[ 0.43365806  0.5958252  -0.02230498],[ 0.42034909  0.58599347 -0.00749898],[ 0.42428586  0.60291934 -0.01276408],[ 0.43188408  0.60258996 -0.01485567],[ 0.43617919  0.59657055 -0.01522086],[ 0.42347881  0.58680689 -0.00447557],[ 0.42768767  0.60163856 -0.00901236],[ 0.43419492  0.60031718 -0.01020602],[ 0.43788835  0.59515363 -0.00983973],[ 0.42662722  0.58642477 -0.00233037],[ 0.42956623  0.59804595 -0.00582631],[ 0.4346998   0.59902704 -0.00694838],[ 0.43815374  0.5955863  -0.00679081]

[ 4.23558503e-01  5.52847981e-01 -3.03157428e-08],[ 0.41607127  0.56031507 -0.00851498],[ 0.41458085  0.56953734 -0.0132372 ],[ 0.41986331  0.57675534 -0.01714868],[ 0.42501414  0.58150822 -0.02042345],[ 0.41304225  0.59176439 -0.00618247],[ 0.4109661   0.59637165 -0.01417025],[ 0.41340116  0.5870719  -0.02047868],[ 0.41566485  0.57774085 -0.02377275],[ 0.42026964  0.59367621 -0.00492618],[ 0.417292    0.60742635 -0.01300828],[ 0.42204505  0.60290635 -0.01797717],[ 0.42582086  0.59424818 -0.0196099 ],[ 0.42738691  0.5922429  -0.00486695],[ 0.42666668  0.60441518 -0.01237046],[ 0.429169    0.5988993  -0.01508892],[ 0.43038616  0.59087414 -0.01489815],[ 0.43384531  0.58735126 -0.00540329],[ 0.43523753  0.59335148 -0.01093784],[ 0.43551886  0.58968872 -0.01205065],[ 0.43472421  0.58442152 -0.01131018]


[4.08671468e-01 5.25412738e-01 1.15828840e-07],[ 0.40096399  0.53182739 -0.00878987],[ 0.39647618  0.54100883 -0.01300985],[ 0.39351678  0.5493331  -0.0156953 ],[ 0.39158106  0.55686021 -0.01761094],[ 0.40761605  0.56408376 -0.00827781],[ 0.4016256   0.57925814 -0.01192768],[ 0.39547446  0.58553135 -0.01482277],[ 0.39077392  0.58881629 -0.01652697],[ 0.4082211   0.56671876 -0.00478211],[ 0.4009546   0.58238184 -0.00792699],[ 0.39467192  0.58775717 -0.01021081],[ 0.39008641  0.59035319 -0.01169696],[ 0.40664014  0.56760603 -0.00191405],[ 0.39946181  0.58118892 -0.00423959],[ 0.39444044  0.5866465  -0.00503825],[ 0.39058262  0.59035581 -0.00545819],[4.04313177e-01 5.67331612e-01 1.82049291e-04],[ 0.39874923  0.57859838 -0.0008982 ],[ 0.39456543  0.58362639 -0.00081698],[ 0.39142871  0.58664566 -0.00061705]

[3.95359725e-01 5.36731541e-01 4.77479993e-08],[ 0.38696003  0.53914738 -0.00409474],[ 0.38065949  0.5483644  -0.00534545],[ 0.37794501  0.55729103 -0.00632565],[ 0.37598169  0.56228137 -0.00701452],[ 0.37444231  0.56283712 -0.0012124 ],[ 0.3663376   0.57451087 -0.00365973],[ 0.36235446  0.58122802 -0.00614369],[ 0.35993391  0.58667028 -0.00784284],[ 0.37837097  0.56835568 -0.00064421],[ 0.37238353  0.58054501 -0.00292201],[ 0.37040126  0.58541614 -0.005334  ],[ 0.36935326  0.58762348 -0.00674343],[ 0.38258517  0.57216096 -0.00073276],[ 0.37741289  0.58441144 -0.00317144],[ 0.37524626  0.58960795 -0.00494215],[ 0.37390268  0.59214592 -0.00580044],[ 0.38719079  0.57451892 -0.0012005 ],[ 0.38353574  0.58382207 -0.00283816],[ 0.38152581  0.5863176  -0.00314084],[ 0.38055554  0.58665466 -0.00303879]
[3.87086660e-01 5.41272819e-01 2.99449994e-08],[ 0.37720776  0.54602188 -0.00275122],[ 0.3705596   0.5547995  -0.00309543],[ 0.36717805  0.56438434 -0.00360729],[ 0.36511821  0.57215178 -0.00376583],[0.36195567 0.5620774  0.00119691],[ 0.35209051  0.57061368 -0.00075175],[ 0.3473928   0.5772655  -0.00289542],[ 0.34464407  0.58359128 -0.00441819],[0.36567786 0.56780088 0.00121676],[ 0.36005992  0.57503653 -0.00170462],[ 0.36215767  0.57684517 -0.00403901],[ 0.36492038  0.5768373  -0.00491393],[0.37032586 0.57224667 0.0006915 ],[ 0.36578399  0.57871509 -0.00162227],[ 0.36723882  0.57903314 -0.0022052 ],[ 0.36945665  0.57748824 -0.00189857],[ 3.75799179e-01  5.74816167e-01 -2.45623116e-04],[ 0.37253833  0.58016336 -0.00132005],[ 0.37250248  0.57996142 -0.0007017 ],[3.73714089e-01 5.77943921e-01 3.25200584e-04]
[ 3.64917874e-01  5.69567323e-01 -5.15410790e-08],[ 0.36137623  0.56517047 -0.01002969],[ 0.35596111  0.5678159  -0.01532984],[ 0.35246518  0.57744467 -0.01957919],[ 0.34921572  0.58700848 -0.0228916 ],[ 0.33490258  0.57908392 -0.00915037],[ 0.32725921  0.58801013 -0.01742535],[ 0.33186609  0.5931077  -0.02310479],[ 0.3373687   0.59402537 -0.02606759],[ 0.33677518  0.59056532 -0.00714409],[ 0.3324503   0.60222781 -0.014464  ],[ 0.33873424  0.60657269 -0.01834624],[ 0.34403253  0.60584778 -0.02001308],[ 0.34074455  0.59850234 -0.00651335],[ 0.33700395  0.61042511 -0.01337616],[ 0.34294114  0.61467725 -0.0157309 ],[ 0.34791043  0.61397779 -0.01599255],[ 0.34526122  0.6032607  -0.00664807],[ 0.34271702  0.61347359 -0.01218962],[ 0.34602365  0.6179893  -0.01388104],[ 0.34972161  0.61784685 -0.01380368],[3.74410808e-01 5.41013181e-01 6.68148488e-08],[ 0.36282617  0.5527671  -0.00183352],[ 0.35622013  0.56597137 -0.00125205],[ 0.35225588  0.57812828 -0.00064095],[3.49298984e-01 5.86284459e-01 1.77979135e-04],[0.35771039 0.57038313 0.00439108],[0.35252875 0.58058041 0.00411035],[0.34822613 0.58562648 0.00255139],[0.34494311 0.58833939 0.00153063],[0.3618753  0.57210606 0.00542722],[0.35718888 0.58172911 0.00601114],[0.3528724  0.58635277 0.00429028],[0.34945759 0.58894163 0.00290124],[0.36495429 0.57214129 0.00590448],[0.36067861 0.58088279 0.00644242],[0.35659781 0.5858447  0.00584256],[0.35323745 0.5885582  0.00533741],[0.36764526 0.57076263 0.00603945],[0.36397609 0.57802522 0.00684287],[0.36062106 0.58187407 0.0073888 ],[0.35795042 0.58399934 0.00783278]
[3.51853132e-01 5.59510410e-01 3.38137056e-08],[ 0.34890649  0.57395005 -0.00525404],[ 0.34451604  0.58805239 -0.00687038],[ 0.34114906  0.59944469 -0.00772113],[ 0.33842069  0.60893458 -0.00798513],[ 0.3295244   0.58038872 -0.00100256],[ 0.32033157  0.58950663 -0.00195258],[ 0.31526187  0.59725571 -0.00374155],[ 0.31194505  0.60453022 -0.00505321],[0.32792041 0.57986987 0.00097287],[0.31939933 0.589665   0.00093749],[ 3.14990014e-01  5.97958863e-01 -2.11543476e-04],[ 0.31275997  0.60497117 -0.00115978],[0.32762021 0.58020717 0.00216698],[0.31943548 0.58933151 0.00171471],[0.31557253 0.59735554 0.00067425],[ 3.12880188e-01  6.04887486e-01 -1.88041686e-05],[0.32807064 0.58088452 0.00283638],[0.32106733 0.58899033 0.00271201],[0.31765267 0.59498739 0.00271725],[0.31523511 0.60088682 0.00275972]
[ 3.35557580e-01  5.72486460e-01 -7.96015254e-10],[ 0.33701035  0.5838629  -0.01099667],[ 0.33486909  0.59786415 -0.01601526],[ 0.33283764  0.611687   -0.01882109],[ 0.32974154  0.62257254 -0.02048448],[ 0.31320569  0.58891958 -0.01360288],[ 0.29936397  0.60403264 -0.01879734],[ 0.29953521  0.61730444 -0.02121786],[ 0.30324021  0.62530226 -0.021978  ],[ 0.31037205  0.59020531 -0.0091323 ],[ 0.29845557  0.60657442 -0.01330848],[ 0.29883656  0.62035692 -0.01441058],[ 0.30316672  0.62699479 -0.01475969],[ 0.31014943  0.59331435 -0.00552196],[ 0.30133349  0.61043918 -0.00970965],[ 0.30275592  0.62358201 -0.01166414],[ 0.30733413  0.63211673 -0.01228719],[ 0.31132331  0.59730637 -0.00255188],[ 0.30597723  0.61194736 -0.00647443],[ 0.30629978  0.62296343 -0.00865523],[ 0.30967522  0.6309064  -0.00955846],[3.41106445e-01 5.64063072e-01 6.25176497e-08],[ 0.33932641  0.58127832 -0.00583153],[ 0.33493429  0.59767938 -0.0076887 ],[ 0.33178735  0.61052704 -0.00818101],[ 0.32916045  0.62021255 -0.00808046],[ 0.32278442  0.58517349 -0.00509002],[ 0.3108772   0.59402817 -0.0057835 ],[ 0.30481949  0.60221529 -0.00657408],[ 0.30122963  0.60979462 -0.00693939],[ 0.32021415  0.58193976 -0.00191356],[ 0.30879122  0.59111184 -0.00183962],[ 0.30335477  0.60050154 -0.0021251 ],[ 0.30123609  0.60821563 -0.00246404],[0.31878477 0.58115053 0.0008863 ],[0.30911899 0.59045959 0.00086757],[3.05094928e-01 5.99156260e-01 1.09531167e-04],[ 3.03968638e-01  6.07073307e-01 -3.93181050e-04],[0.31827962 0.58200043 0.00331225],[0.31066278 0.59099162 0.00323871],[0.30711579 0.59802991 0.0029949 ],[0.30599213 0.60499352 0.00290959]
[3.31383348e-01 5.70461810e-01 6.59112303e-08],[ 0.32991615  0.58987975 -0.00452434],[ 0.32597247  0.60669506 -0.00674339],[ 0.32330692  0.61966026 -0.00805568],[ 0.32153347  0.62938958 -0.00914606],[ 0.31407285  0.59338588 -0.00559305],[ 0.30389732  0.60097021 -0.00764216],[ 0.29767093  0.60826331 -0.00954747],[ 0.29337856  0.61525398 -0.0107089 ],[ 0.31066218  0.58881891 -0.00375188],[ 0.30027038  0.59595144 -0.00492509],[ 0.29441032  0.60436231 -0.00582965],[ 0.29062372  0.61118263 -0.00661372],[ 0.30888832  0.58644313 -0.00210429],[ 0.29922453  0.59369874 -0.00303699],[ 0.29409346  0.60083771 -0.0036377 ],[ 0.29078925  0.6069048  -0.00399502],[ 0.30850875  0.58608812 -0.0007427 ],[ 0.30035701  0.59282804 -0.00110349],[ 0.29572773  0.59807342 -0.00095915],[ 0.29254419  0.60258991 -0.00079804]
[ 3.12211454e-01  5.87034523e-01 -1.42930716e-08],[ 0.31813815  0.60173106 -0.00952465],[ 0.31771633  0.61954993 -0.01436289],[ 0.3167493   0.63426638 -0.01691271],[ 0.31548843  0.64395076 -0.0187168 ],[ 0.29663262  0.60940641 -0.01834209],[ 0.2850334   0.62876403 -0.02456769],[ 0.28495619  0.64274341 -0.02695353],[ 0.28773716  0.65219134 -0.02748636],[ 0.29001448  0.60680872 -0.0146038 ],[ 0.27880234  0.63001198 -0.02047203],[ 0.28097972  0.64558131 -0.02127044],[ 0.28642589  0.65375942 -0.02096629],[ 0.28667596  0.6070134  -0.01097153],[ 0.27733368  0.62798619 -0.01579544],[ 0.27984294  0.64261299 -0.01669511],[ 0.28515887  0.6511324  -0.01621778],[ 0.28617379  0.60939991 -0.00778652],[ 0.27946991  0.62629181 -0.01164277],[ 0.27991778  0.63845801 -0.01296947],[ 0.28332675  0.64630622 -0.01306318],[3.23099077e-01 5.78975201e-01 6.59909176e-08],[ 0.32198066  0.59925473 -0.0032628 ],[ 0.31870621  0.61673194 -0.00525828],[ 0.3160871   0.62985003 -0.00663748],[ 0.3148872   0.63952833 -0.00786564],[ 0.30846623  0.60481822 -0.0053581 ],[ 0.29854167  0.61252266 -0.00768066],[ 0.29228324  0.61949861 -0.00959475],[ 0.2876524   0.62614    -0.01076322],[ 0.3043882   0.59851009 -0.00447563],[ 0.29445505  0.60615188 -0.00596536],[ 0.28873661  0.61400169 -0.00684967],[ 0.28494737  0.62000912 -0.00759504],[ 0.3015818   0.59446657 -0.003653  ],[ 0.2925202   0.6016745  -0.00492038],[ 0.28731954  0.60958475 -0.00542577],[ 0.2843228   0.61580873 -0.00564396],[ 0.30009449  0.59224266 -0.00301282],[ 0.2922782   0.59927732 -0.00376578],[ 0.28778583  0.60524571 -0.00365738],[ 0.28504974  0.61015928 -0.00339592]
[3.15897971e-01 5.83036780e-01 7.34066816e-08],[ 0.31622913  0.60599101 -0.00205555],[ 0.31338754  0.62651598 -0.00276319],[ 0.31155628  0.64085513 -0.00316022],[ 0.31063056  0.65141457 -0.00331053],[ 0.30624315  0.61462361 -0.00101094],[ 0.29686889  0.62525499 -0.00188412],[ 0.29090151  0.63256073 -0.00303267],[ 0.28649732  0.63927418 -0.00386212],[ 3.01825315e-01  6.07671797e-01 -3.72343871e-04],[ 2.92394042e-01  6.17422938e-01 -5.23313822e-04],[ 0.28659478  0.62530458 -0.0015835 ],[ 0.28218839  0.6314947  -0.00267205],[2.98275262e-01 6.02269948e-01 1.36766685e-04],[2.89334774e-01 6.11585438e-01 3.01101914e-04],[ 2.84067541e-01  6.19427085e-01 -1.42414428e-04],[ 2.80822515e-01  6.25307918e-01 -5.91919757e-04],[2.96089977e-01 5.98699272e-01 5.21974987e-04],[0.28853589 0.6071974  0.00107472],[0.28398576 0.61366355 0.00143907],[0.28112221 0.61870337 0.00162064]
[ 3.01137865e-01  6.13492131e-01 -2.77697332e-09],[ 0.30824655  0.62853658 -0.00848785],[ 0.30886272  0.64760375 -0.01271711],[ 0.30828655  0.66232437 -0.01487892],[ 0.30538687  0.67114645 -0.01621169],[ 0.28815758  0.64202631 -0.01485207],[ 0.27783358  0.66204864 -0.01933541],[ 0.27838427  0.67441654 -0.02081846],[ 0.2806617   0.68280125 -0.02092995],[ 0.28067696  0.63786942 -0.01132082],[ 0.27067119  0.66122812 -0.01560748],[ 0.27373514  0.67448229 -0.01550019],[ 0.2786189   0.68069392 -0.01452151],[ 0.27697772  0.6359486  -0.00789521],[ 0.26925832  0.65680397 -0.01084826],[ 0.27237105  0.66881412 -0.01011408],[ 0.27652979  0.67501605 -0.00865425],[ 0.27653337  0.63576013 -0.00497822],[ 0.27088511  0.65259719 -0.00666108],[ 0.2720848   0.66323251 -0.0061913 ],[ 0.27477801  0.66949481 -0.00513609]
