


[ 4.54077154e-01  4.70698357e-01 -4.31393410e-08],[0.44948274 0.49346209 0.00086191],[0.45324397 0.50998527 0.00156913],[0.46008933 0.51515317 0.00163831],[0.46585959 0.51131535 0.00174713],[0.46875185 0.51462978 0.00428914],[0.46677288 0.51978046 0.00323156],[0.46216723 0.51511097 0.00066238],[ 0.45931336  0.50924009 -0.00105699],[0.47490531 0.50761908 0.00309431],[0.47171369 0.51147854 0.00343117],[0.4669967  0.50815988 0.00149061],[ 4.64253247e-01  5.03257096e-01 -1.03008169e-04],[0.47848764 0.49839431 0.00174719],[0.47532094 0.50274533 0.00237774],[0.47058091 0.50078619 0.00192445],[0.46770138 0.4968116  0.00135213],[4.80077684e-01 4.89156067e-01 3.60250619e-04],[0.47805062 0.49294844 0.00169906],[0.47418681 0.49173167 0.00326993],[0.47162402 0.48865086 0.00445342]


[ 4.39566076e-01  3.95039827e-01 -1.24273285e-08],[ 0.4430562   0.37928572 -0.00099749],[ 0.4501003   0.36778802 -0.00242604],[ 0.45704374  0.36075762 -0.00374476],[ 0.46360135  0.35534135 -0.00505766],[ 0.45318556  0.37825111 -0.0053195 ],[ 0.46501532  0.37250292 -0.00780671],[ 0.47160241  0.3668423  -0.00904588],[ 0.47604144  0.36093152 -0.00975347],[ 0.45535445  0.38496232 -0.00611972],[ 0.46785423  0.37909159 -0.00813719],[ 0.47443587  0.37248689 -0.00887676],[ 0.4788835   0.36546442 -0.00971818],[ 0.45745653  0.39045361 -0.00683699],[ 0.46929085  0.38444269 -0.00884272],[ 0.47547439  0.37757599 -0.00935386],[ 0.47965792  0.37001297 -0.0098642 ],[ 0.45904419  0.39453158 -0.00747964],[ 0.4681516   0.38960332 -0.0091432 ],[ 0.47344464  0.38396862 -0.00941618],[ 0.4771778   0.37740862 -0.00967468]
[4.40802217e-01 3.81910980e-01 5.98541217e-09],[ 0.45030051  0.38900632 -0.00288228],[ 0.46049806  0.3873693  -0.00472415],[ 0.46870801  0.37986889 -0.00585497],[ 0.4738096   0.37106696 -0.00718317],[ 0.45181355  0.3867532  -0.00954809],[ 0.45908985  0.3809782  -0.01273755],[ 0.46506032  0.37461275 -0.01468645],[ 0.47074711  0.36906341 -0.01620683],[ 0.44774178  0.37871844 -0.00944069],[ 0.45713708  0.37299475 -0.01152197],[ 0.46442264  0.36792481 -0.01224393],[ 0.4708645   0.36423925 -0.01364573],[ 0.44534534  0.37034869 -0.00910669],[ 0.4539212   0.3642866  -0.01101872],[ 0.46046105  0.36070204 -0.01097762],[ 0.46624947  0.35815442 -0.01159309],[ 0.44326127  0.36190012 -0.00891911],[ 0.44962877  0.35651106 -0.01049577],[ 0.45482987  0.35429135 -0.01041597],[ 0.45976278  0.35300878 -0.01085526],[4.38079149e-01 3.84044349e-01 5.46609158e-08],[ 0.44730258  0.38924024 -0.00376948],[ 0.45782638  0.38893804 -0.00642594],[ 0.46555686  0.38275415 -0.00799977],[ 0.47021115  0.37551191 -0.00966462],[ 0.45131654  0.39038599 -0.01296677],[ 0.46065408  0.38436592 -0.01769873],[ 0.46694839  0.37795815 -0.01993113],[ 0.4721328   0.37206966 -0.02111472],[ 0.44639105  0.38236675 -0.01249369],[ 0.45629519  0.37585858 -0.01658673],[ 0.46403277  0.36921597 -0.01779329],[ 0.46990055  0.36458009 -0.01886664],[ 0.44343626  0.37394238 -0.01180415],[ 0.45232192  0.36773533 -0.01490409],[ 0.45993888  0.36298132 -0.01578447],[ 0.46571499  0.36021149 -0.01637894],[ 0.44183841  0.36576951 -0.01125162],[ 0.44955769  0.35950884 -0.01373308],[ 0.45532516  0.3548677  -0.01478368],[ 0.45994592  0.35191244 -0.01552426]
[4.33356434e-01 3.77424836e-01 3.68383368e-08],[ 0.44033256  0.38385215 -0.00301106],[ 0.44949597  0.38604981 -0.00586761],[ 0.45665592  0.3824845  -0.00787887],[ 0.46111435  0.37621593 -0.0101672 ],[ 0.44557968  0.38622662 -0.01250709],[ 0.45559457  0.38091573 -0.01698207],[ 0.46254808  0.37462589 -0.01914007],[ 0.46813893  0.36893672 -0.02036607],[ 0.44102249  0.37761793 -0.01281068],[ 0.45060363  0.37301514 -0.01701065],[ 0.45888868  0.36719808 -0.0184482 ],[ 0.46497509  0.36291069 -0.01968874],[ 0.43806297  0.36943042 -0.01281396],[ 0.447088    0.36519945 -0.01602497],[ 0.45506448  0.36075935 -0.01708757],[ 0.46070108  0.35783532 -0.01781152],[ 0.4363963   0.36154634 -0.01284587],[ 0.44470495  0.35795897 -0.0156407 ],[ 0.45118219  0.35558784 -0.01673024],[ 0.45624188  0.35425037 -0.01743162]
[4.29905355e-01 3.72123301e-01 4.21156976e-08],[ 0.43451694  0.37962052 -0.00340734],[ 0.44214627  0.3833504  -0.00643493],[ 0.44905448  0.38245523 -0.00860068],[ 0.45393351  0.37913287 -0.01108703],[ 0.43704453  0.38365573 -0.01249353],[ 0.44799721  0.38107044 -0.01670366],[ 0.45521018  0.37752506 -0.01857071],[ 0.46054265  0.37346548 -0.01957313],[ 0.43486455  0.37502781 -0.01251677],[ 0.4455848   0.37243065 -0.01650424],[ 0.45360002  0.36926863 -0.01779342],[ 0.4592573   0.36628366 -0.01883351],[ 0.43386391  0.36676475 -0.01226549],[ 0.44397783  0.36410183 -0.01533294],[ 0.4516511   0.36170825 -0.01622296],[ 0.45687389  0.35971776 -0.01680135],[ 0.43412265  0.35894978 -0.01203811],[ 0.44251773  0.35567626 -0.01460113],[ 0.44836542  0.35405272 -0.01546384],[ 0.45264792  0.35323614 -0.01599454]

[ 4.11969572e-01  3.78140420e-01 -5.39302150e-08],[ 0.41599688  0.36135116 -0.00785761],[ 0.42025164  0.34892362 -0.01477612],[ 0.42410329  0.34163848 -0.02050469],[ 0.42783582  0.33606777 -0.02660734],[ 0.41700932  0.36586305 -0.01893491],[ 0.42655867  0.36794502 -0.0258397 ],[ 0.43421662  0.36948061 -0.03018425],[ 0.44126338  0.37099546 -0.03307548],[ 0.41690156  0.37773398 -0.01786151],[ 0.42862734  0.37841418 -0.02371828],[ 0.4370456   0.37775564 -0.02611483],[ 0.4442234   0.37715903 -0.02833155],[ 0.41814753  0.38721487 -0.01668732],[ 0.42931792  0.38736933 -0.02206595],[ 0.43782121  0.38619435 -0.02345657],[ 0.44511497  0.3849141  -0.02447877],[ 0.42024967  0.39369059 -0.01592731],[ 0.42973199  0.39236164 -0.01981308],[ 0.43624401  0.39038384 -0.02033873],[ 0.44182241  0.38846293 -0.02083084]
[3.95579308e-01 3.73179942e-01 4.87861485e-08],[ 0.40400094  0.36307433 -0.00304512],[ 0.41532713  0.35942489 -0.00467375],[ 0.42497525  0.35913801 -0.00567207],[ 0.43077117  0.35878006 -0.00653118],[ 0.41236499  0.3683145  -0.00640365],[ 0.42310545  0.37520102 -0.00861419],[ 0.43026888  0.3782948  -0.00939084],[ 0.43608069  0.37999704 -0.00970174],[ 0.40934801  0.37816948 -0.00623164],[ 0.42139095  0.38463372 -0.00812106],[ 0.43014342  0.38637748 -0.0088131 ],[ 0.4368687   0.38674146 -0.00945113],[ 0.40744096  0.38629255 -0.00606358],[ 0.41963625  0.39230576 -0.00838866],[ 0.42827287  0.39322716 -0.00900949],[ 0.4346253   0.39267331 -0.00912129],[ 0.40681741  0.39234421 -0.00596113],[ 0.41766274  0.39726445 -0.00770895],[ 0.42516935  0.39801389 -0.00783437],[ 0.43122238  0.39754447 -0.00773939]
[ 3.99618298e-01  3.54476988e-01 -1.49611921e-07],[ 0.40687197  0.36809474 -0.0018007 ],[ 0.41229302  0.3824994  -0.00388273],[ 0.4175227   0.39168707 -0.00643289],[ 0.42182526  0.39883846 -0.00898449],[ 0.39941007  0.39036974 -0.00428194],[ 0.41030157  0.39973691 -0.01168704],[ 0.41996711  0.40079388 -0.01736385],[ 0.42730969  0.39952549 -0.02045296],[ 0.39794552  0.3912375  -0.00612676],[ 0.41159159  0.40203121 -0.01288319],[ 0.42199269  0.40154436 -0.01682476],[ 0.42929429  0.39866403 -0.01894215],[ 0.39743403  0.39023066 -0.00847121],[ 0.41153654  0.40111423 -0.01441508],[ 0.42172232  0.40107566 -0.01629276],[ 0.42896363  0.39944094 -0.01671528],[ 0.39760426  0.38651326 -0.01090079],[ 0.40999293  0.39692852 -0.01491433],[ 0.4182761   0.39875442 -0.01548706],[ 0.42414987  0.399113   -0.01527889],[3.94433200e-01 3.83815289e-01 5.33897229e-08],[ 0.40078434  0.37523022 -0.00538644],[ 0.4100455   0.37213343 -0.0089202 ],[ 0.41765928  0.37447384 -0.01105202],[ 0.42311531  0.37833977 -0.01303635],[ 0.40250087  0.37817618 -0.01473464],[ 0.41222706  0.38777196 -0.01913416],[ 0.42032507  0.39258239 -0.02077752],[ 0.42657122  0.39547181 -0.02154264],[ 0.39952686  0.38686383 -0.01360679],[ 0.41004378  0.39657152 -0.01730226],[ 0.41978231  0.39997354 -0.01794878],[ 0.42651379  0.40129986 -0.01863844],[ 0.39832625  0.39381891 -0.01225775],[ 0.40845281  0.40313363 -0.01539554],[ 0.41732192  0.40597272 -0.01591212],[ 0.42308185  0.40668702 -0.01610515],[ 0.39850119  0.39867321 -0.01114494],[ 0.40698412  0.40554526 -0.0137584 ],[ 0.41414705  0.4081291  -0.01458362],[ 0.41932914  0.40928689 -0.01506131]
