



[ 5.46731770e-01  5.52123070e-01 -1.14346626e-07],[ 0.55457985  0.55360156 -0.00138214],[ 0.56509638  0.55416751 -0.00443283],[ 0.57571071  0.55165237 -0.0071104 ],[ 0.58383709  0.54694402 -0.01006344],[ 0.56584483  0.5683257  -0.00916349],[ 0.58316118  0.56374168 -0.01446624],[ 0.59108537  0.55595309 -0.01750923],[ 0.59524083  0.54862124 -0.01891053],[ 0.56522971  0.56942016 -0.0101412 ],[ 0.58521515  0.5640915  -0.0144969 ],[ 0.59382141  0.55573362 -0.01611892],[ 0.59831578  0.54735136 -0.01706412],[ 0.56450582  0.5670377  -0.01089426],[ 0.58240724  0.56018507 -0.01448376],[ 0.59212279  0.55222118 -0.0155237 ],[ 0.59863496  0.5448401  -0.01616452],[ 0.56407875  0.56142271 -0.01142308],[ 0.57644469  0.55497962 -0.01468722],[ 0.58453953  0.54966599 -0.01541177],[ 0.590927    0.54466259 -0.01556846]
[ 5.39031446e-01  5.45952022e-01 -6.43991394e-09],[ 0.54868007  0.55531281 -0.00077734],[ 0.5628286   0.55760479 -0.00422579],[ 0.57535499  0.55149019 -0.00720179],[ 0.58507347  0.54449737 -0.01095772],[ 0.55868411  0.56421232 -0.01294938],[ 0.57885402  0.55938065 -0.01880788],[ 0.58934194  0.55245221 -0.02198631],[ 0.5966059   0.54611927 -0.0241208 ],[ 0.55549258  0.55656624 -0.01613478],[ 0.57588392  0.5574916  -0.02141929],[ 0.58727014  0.55218869 -0.02427034],[ 0.59532678  0.54663134 -0.02653171],[ 0.55191559  0.54625064 -0.01871021],[ 0.56793535  0.54529196 -0.02488378],[ 0.57856143  0.54324383 -0.02870707],[ 0.58713681  0.54154378 -0.0315969 ],[ 0.54967183  0.53455526 -0.02061993],[ 0.55650491  0.52667695 -0.02704868],[ 0.55888045  0.52146715 -0.02931019],[ 0.5604592   0.51788652 -0.03091283]
[5.35942674e-01 5.44203281e-01 1.86769284e-08],[5.47720909e-01 5.53816617e-01 3.37392266e-04],[ 0.56210035  0.55636209 -0.00309032],[ 0.57325035  0.55009878 -0.00619675],[ 0.58190602  0.54217517 -0.0103551 ],[ 0.55786276  0.56321406 -0.01422359],[ 0.57623607  0.55565494 -0.02051603],[ 0.58627653  0.54748118 -0.02383848],[ 0.59340596  0.54058576 -0.02628989],[ 0.55484277  0.55430859 -0.01871152],[ 0.5759989   0.55506366 -0.02514298],[ 0.5881595   0.54905558 -0.02848375],[ 0.59718817  0.54288167 -0.03088485],[ 0.55080652  0.54179287 -0.02235572],[ 0.56776798  0.53996599 -0.02939068],[ 0.57913399  0.53829819 -0.03381257],[ 0.58874369  0.5377062  -0.03709489],[ 0.54719681  0.52735722 -0.02515238],[ 0.55388421  0.51574314 -0.03250124],[ 0.55769986  0.5099743  -0.0355554 ],[ 0.56124544  0.50632823 -0.03773975]
[ 5.42490661e-01  5.32058299e-01 -1.82964683e-07],[0.55368656 0.53739637 0.00421272],[0.56555456 0.54077518 0.00325144],[0.57579529 0.53954071 0.00092944],[ 0.5841853   0.53472388 -0.00211059],[ 0.56360275  0.55891234 -0.00237941],[ 0.58316243  0.55676538 -0.00711169],[ 0.59247285  0.54711473 -0.01050468],[ 0.5970692   0.53811193 -0.01246194],[ 0.56130052  0.55693936 -0.00709554],[ 0.5836969   0.55334049 -0.01047427],[ 0.59347051  0.54432082 -0.01187533],[ 0.59784919  0.53578049 -0.01325541],[ 0.55965298  0.5500384  -0.01152155],[ 0.58060169  0.54970813 -0.01525312],[ 0.59109622  0.54283577 -0.01566912],[ 0.59697437  0.53629875 -0.01615126],[ 0.5592171   0.53952461 -0.01538801],[ 0.57413667  0.53684992 -0.01989233],[ 0.58352709  0.53345096 -0.02050535],[ 0.59074104  0.53057665 -0.02056382],[5.35513401e-01 5.37483156e-01 3.93768183e-08],[ 0.5471158   0.54718029 -0.00086766],[ 0.5608474   0.54925036 -0.00467273],[ 0.57179213  0.54314226 -0.00786007],[ 0.58046257  0.53634655 -0.01190555],[ 0.55830723  0.55632222 -0.01522788],[ 0.57642055  0.5494526  -0.02191589],[ 0.5867905   0.54227132 -0.02521533],[ 0.59434718  0.53563976 -0.02741094],[ 0.55536139  0.54722577 -0.01884327],[ 0.57612067  0.54798585 -0.02554177],[ 0.58787304  0.54194015 -0.02847042],[ 0.59644675  0.53613347 -0.03030284],[ 0.55128157  0.53484982 -0.02177117],[ 0.56715727  0.53197706 -0.02888134],[ 0.57783937  0.52982217 -0.03281298],[ 0.58649886  0.52929097 -0.03544378],[ 0.54745525  0.52092636 -0.02400169],[ 0.55385202  0.50857431 -0.03113802],[ 0.55755204  0.50277859 -0.03399853],[ 0.56079191  0.49943888 -0.03578968]
[5.38829923e-01 5.25720477e-01 5.35153184e-08],[ 0.54936022  0.53642905 -0.00055352],[ 0.5628792   0.53965312 -0.00386742],[ 0.5738374   0.53336221 -0.00665091],[ 0.58260453  0.52606022 -0.01037758],[ 0.56031716  0.5468424  -0.01279313],[ 0.57942998  0.53990948 -0.01836918],[ 0.58942741  0.53338051 -0.02114963],[ 0.59641087  0.52702028 -0.02297902],[ 0.55713063  0.53870571 -0.01620904],[ 0.5786202   0.53787565 -0.0218037 ],[ 0.58976972  0.5323832  -0.02469517],[ 0.59742618  0.52658641 -0.02653043],[ 0.55323011  0.52696854 -0.01891218],[ 0.56951094  0.52272999 -0.02568847],[ 0.58036715  0.52022207 -0.02991405],[ 0.58885765  0.51864851 -0.03277705],[ 0.54989666  0.51364195 -0.0208171 ],[ 0.55470085  0.50425488 -0.02795935],[ 0.55466342  0.50051922 -0.03023787],[ 0.55438566  0.49808523 -0.03152963]
[5.42804301e-01 5.16510665e-01 4.00636821e-08],[ 5.54507077e-01  5.25401413e-01 -5.37175394e-04],[ 0.56805485  0.52803385 -0.00398178],[ 0.57910949  0.52139509 -0.00699101],[ 0.58773983  0.51408911 -0.01078069],[ 0.5646686   0.53697711 -0.01258818],[ 0.58431435  0.53004545 -0.01844401],[ 0.59408933  0.52267772 -0.02171   ],[ 0.60055143  0.51564866 -0.02384206],[ 0.56113398  0.52903664 -0.01583489],[ 0.58219922  0.5271163  -0.02142878],[ 0.59271067  0.52137733 -0.02438657],[ 0.59954232  0.51543057 -0.02652927],[ 0.55755687  0.51792312 -0.01845758],[ 0.57378113  0.51339734 -0.02504415],[ 0.58396679  0.51149166 -0.02902329],[ 0.59146613  0.51001579 -0.03186367],[ 0.55497283  0.50548655 -0.0203639 ],[ 0.55987751  0.49919543 -0.02720386],[ 0.55960226  0.4978478  -0.02951615],[ 0.55869359  0.49691597 -0.03102513]
[5.46981573e-01 5.06503463e-01 4.36540404e-08],[ 0.55791348  0.51539177 -0.00100866],[ 0.57230562  0.51737213 -0.00471153],[ 0.58444178  0.51016504 -0.00787058],[ 0.59375268  0.50336915 -0.0117856 ],[ 0.56937355  0.52825862 -0.01217668],[ 0.5889411   0.521245   -0.01798446],[ 0.59842539  0.51386899 -0.02141716],[ 0.60447216  0.50722289 -0.0236871 ],[ 0.56585342  0.52021605 -0.01530788],[ 0.58694416  0.51926774 -0.02058433],[ 0.59789652  0.51396567 -0.02360522],[ 0.60532093  0.50867772 -0.02588472],[ 0.56219953  0.50874525 -0.01790214],[ 0.57840103  0.50599456 -0.02408553],[ 0.58869213  0.50442326 -0.02805706],[ 0.59676325  0.50366551 -0.03107796],[ 0.55942398  0.4955731  -0.01984399],[ 0.5645771   0.48872566 -0.02652902],[ 0.56430858  0.48644659 -0.02878551],[ 0.5639168   0.48503706 -0.03032735]
[5.50722957e-01 4.99618441e-01 2.75454077e-08],[0.56068444 0.51096821 0.00146649],[ 0.57348263  0.51500952 -0.00099697],[ 0.58429295  0.50958759 -0.00332997],[ 0.59161937  0.50232017 -0.00662777],[ 0.57186562  0.52089667 -0.0097393 ],[ 0.59167439  0.51510745 -0.01418207],[ 0.60123277  0.50875306 -0.01645152],[ 0.60791105  0.50290966 -0.01802614],[ 0.56992596  0.51139623 -0.01380506],[ 0.59109056  0.51189178 -0.01803865],[ 0.60155356  0.50684202 -0.02032999],[ 0.60876918  0.50183791 -0.02194532],[ 0.56756896  0.49929264 -0.0170832 ],[ 0.58390695  0.49842814 -0.02227229],[ 0.59452426  0.49716002 -0.02595379],[ 0.60274225  0.49694774 -0.02883828],[ 0.56541872  0.48644596 -0.01950849],[ 0.57001728  0.47877687 -0.02492135],[ 0.56945735  0.47573236 -0.02652718],[ 0.56865358  0.47414082 -0.02772655]
[5.54478645e-01 4.91468936e-01 3.62140256e-08],[5.63687384e-01 5.04384696e-01 4.10323992e-04],[ 0.57612514  0.50931126 -0.0023786 ],[ 0.58622497  0.5054481  -0.00463424],[ 0.59285003  0.4981859  -0.0078208 ],[ 0.57350564  0.51135385 -0.01177013],[ 0.58930987  0.50759    -0.01653529],[ 0.59704554  0.50189209 -0.01879924],[ 0.60270649  0.49665758 -0.02033579],[ 0.57185036  0.50138342 -0.01523412],[ 0.59278637  0.50374061 -0.02038342],[ 0.60387743  0.49922517 -0.02272462],[ 0.61142039  0.49463797 -0.02415171],[ 0.56987703  0.48931023 -0.0179287 ],[ 0.58665222  0.4877817  -0.02412372],[ 0.5977447   0.48682404 -0.02821443],[ 0.60606134  0.48723662 -0.03101001],[ 0.56789666  0.47767329 -0.01975728],[ 0.57420641  0.46823534 -0.02556018],[ 0.57460552  0.46426442 -0.02748802],[ 0.57437474  0.46237066 -0.02881216]
[5.53779125e-01 4.82285112e-01 3.15258966e-08],[0.56305075 0.49586532 0.00087958],[ 0.5753547   0.49926946 -0.00127787],[ 0.58458889  0.49346831 -0.00311464],[ 0.58970511  0.48547482 -0.00567938],[ 0.57387352  0.49941057 -0.01041141],[ 0.58854681  0.49552086 -0.01493517],[ 0.59066182  0.49001005 -0.01736319],[ 0.59050566  0.48627916 -0.01901079],[ 0.57251012  0.48895276 -0.01370045],[ 0.59235525  0.48984286 -0.01809153],[ 0.60240364  0.48687685 -0.02102328],[ 0.60922623  0.48436192 -0.02321923],[ 0.57063353  0.47710526 -0.01620017],[ 0.58831257  0.47473705 -0.02160341],[ 0.59884369  0.47346705 -0.02616943],[ 0.6070354   0.47315043 -0.02949005],[ 0.56852299  0.46601298 -0.01779043],[ 0.57519609  0.45640829 -0.02286199],[ 0.57735294  0.45129827 -0.02504805],[ 0.57920641  0.44777748 -0.02666087]
