[0.47589196 0.         0.48902238],[0.62913322 0.11190332 0.48465962],[0.67934757 0.28308074 0.49363007],[0.6682053  0.43529962 0.50807548],[0.64884987 0.52249864 0.53030839],[0.54438223 0.45769307 0.46668715],[0.54172688 0.67359524 0.47306427],[0.59138157 0.68008681 0.49172099],[0.61370621 0.63269665 0.50972243],[0.44122331 0.45932321 0.47261566],[0.45672698 0.68404082 0.47843476],[0.51519903 0.6699579  0.49985902],[0.53683009 0.60767449 0.51924616],[0.36933292 0.43264723 0.4806147 ],[0.39331093 0.63664711 0.48924504],[0.4485338  0.6260281  0.51000946],[0.46907217 0.57184154 0.52539867],[0.32368522 0.38984859 0.4892553 ],[0.34425468 0.55255566 0.50819198],[0.39296111 0.55809779 0.53130109],[0.41624495 0.51448348 0.54893737]
[0.487226   0.         0.47371708],[0.62693849 0.11400755 0.46807173],[0.67734621 0.27754197 0.48016314],[0.67937767 0.41567567 0.50053751],[0.67198419 0.49499171 0.5299165 ],[0.54486736 0.45587211 0.4500894 ],[0.54106868 0.6586183  0.46846078],[0.58803472 0.69239164 0.49794241],[0.6192443  0.66635624 0.52389056],[0.445448   0.447447   0.46209149],[0.45697732 0.66672024 0.47895845],[0.51375651 0.68237462 0.50671995],[0.54265608 0.63812983 0.52945931],[0.375002   0.41435383 0.47701896],[0.3881492  0.61816928 0.49459033],[0.44349835 0.63377582 0.51638503],[0.47217261 0.59839948 0.53258441],[0.32814475 0.36617212 0.49269337],[0.32677494 0.53742174 0.517591  ],[0.37031651 0.57270183 0.54061959],[0.40101611 0.54887902 0.55849901]
[0.46984545 0.         0.47562741],[0.62197387 0.12628256 0.46727715],[0.66931433 0.30793996 0.4751634 ],[0.66134494 0.46013236 0.4841452 ],[0.65281811 0.56170308 0.49852608],[0.52452803 0.45026213 0.48521964],[0.5442402  0.65527512 0.49262963],[0.59850987 0.66747108 0.49532186],[0.62851646 0.62756514 0.50073829],[0.43510285 0.44729255 0.4896935 ],[0.46382317 0.6477969  0.50594192],[0.51824081 0.65237638 0.50763957],[0.54565515 0.59953351 0.50838577],[0.36960142 0.42230592 0.49382469],[0.39752078 0.61918542 0.51033997],[0.44935375 0.625733   0.51344719],[0.47376395 0.57970851 0.51274979],[0.32306676 0.39222793 0.49754008],[0.34353776 0.55628551 0.51523063],[0.39146137 0.57004738 0.52986698],[0.41778097 0.53087555 0.54069127]
[0.52837392 0.         0.41266545],[0.53194812 0.19312053 0.3347756 ],[0.52852033 0.39984664 0.34690394],[0.50702298 0.56372383 0.37375928],[0.48889592 0.69441714 0.4081932 ],[0.61861933 0.46926328 0.472172  ],[0.60260675 0.64381783 0.50002257],[0.5545888  0.7189929  0.50121885],[0.50397536 0.76138877 0.50017163],[0.57950766 0.4293407  0.52506686],[0.54592382 0.5799554  0.55768534],[0.48787921 0.65337605 0.53596454],[0.41665221 0.69499336 0.51351621],[0.53722585 0.37803133 0.56474261],[0.48918654 0.50004111 0.58312118],[0.43796985 0.55599921 0.5400419 ],[0.37565794 0.58120712 0.50482134],[0.4981522  0.33002218 0.59708223],[0.46437136 0.41750336 0.60213077],[0.42553367 0.45607179 0.57379025],[0.37738817 0.47888748 0.55215424]
[0.45719117 0.         0.41929061],[0.62592135 0.11582374 0.4426659 ],[0.68600999 0.28893728 0.47687521],[0.68702812 0.44088836 0.51092465],[0.66037292 0.51950062 0.55395337],[0.55616678 0.46986118 0.45984539],[0.57257931 0.68777998 0.48828298],[0.61235663 0.6537996  0.51690017],[0.61371332 0.58569283 0.54043985],[0.45081871 0.47576854 0.46217987],[0.47393254 0.70683988 0.4837984 ],[0.52046225 0.66517872 0.51075705],[0.53021213 0.59477775 0.53556438],[0.3734655  0.44657853 0.46705881],[0.39162225 0.64067444 0.49002185],[0.43639253 0.61679923 0.51463921],[0.44698197 0.56530788 0.53343265],[0.32040271 0.39863829 0.47485679],[0.33184449 0.55628989 0.51077401],[0.37013462 0.55744642 0.54253398],[0.38239071 0.51341684 0.56520486]
[0.45630787 0.         0.48788888],[0.62051567 0.11545692 0.49590676],[0.68177988 0.28801845 0.50338876],[0.6777634 0.4424028 0.510128 ],[0.6561624  0.53450584 0.52213129],[0.55637749 0.46204052 0.48197295],[0.5775788  0.67486281 0.48393828],[0.61866707 0.66312592 0.49436765],[0.6277315  0.60383112 0.50669847],[0.44816851 0.47048814 0.47746896],[0.4789526  0.69679469 0.48085653],[0.52742702 0.66583721 0.49458332],[0.53598504 0.59286426 0.50895403],[0.36464673 0.4452358  0.47571878],[0.39649411 0.64530592 0.48743629],[0.44175787 0.62243032 0.50855822],[0.45033301 0.56138874 0.5231105 ],[0.30347764 0.40063993 0.47484406],[0.32549943 0.55619307 0.50141272],[0.36880143 0.55293806 0.53010522],[0.38557251 0.50563946 0.55053031]
[0.4495375  0.         0.50857444],[0.60909894 0.09791757 0.50647519],[0.67294511 0.26148083 0.50855625],[0.68183166 0.40216409 0.51095505],[0.67886004 0.47678003 0.51957191],[0.54229752 0.45448405 0.48810839],[0.56070466 0.68871429 0.47945583],[0.61231097 0.68963246 0.48420138],[0.62576791 0.62753107 0.493739  ],[0.43499467 0.46521763 0.48518889],[0.47171266 0.69784187 0.48146678],[0.5300391  0.67044089 0.49426934],[0.54258984 0.59823585 0.50743243],[0.35605974 0.44611227 0.48336097],[0.39946892 0.6526124  0.48790775],[0.45263719 0.63054549 0.5076446 ],[0.46435943 0.56681921 0.52134149],[0.30187954 0.41022372 0.48118852],[0.33388962 0.56844347 0.49635177],[0.38070591 0.56980279 0.51866504],[0.39830909 0.525      0.53554499]
[0.46617891 0.         0.45746835],[0.62269678 0.11556228 0.46621339],[0.67982037 0.29218393 0.4877321 ],[0.67189411 0.44107022 0.50922469],[0.64997544 0.51562341 0.53648182],[0.54514139 0.45433233 0.48305745],[0.54657417 0.66178721 0.49287978],[0.59200844 0.68752702 0.5012642 ],[0.61308707 0.65598947 0.51132389],[0.44853105 0.44891059 0.48352116],[0.46501453 0.66354677 0.49387788],[0.51914938 0.66519995 0.50502073],[0.54271665 0.61857776 0.51684031],[0.3789004  0.41923592 0.48404025],[0.39133072 0.62158087 0.49486392],[0.44287393 0.62828957 0.508146  ],[0.46622935 0.58958723 0.51893524],[0.33418848 0.37457994 0.48538135],[0.33646435 0.54205714 0.50361603],[0.38030169 0.56745091 0.52264827],[0.40692281 0.53690747 0.5374632 ]
[0.50363309 0.         0.47436916],[0.64755033 0.12859254 0.48547764],[0.7033891  0.31183615 0.49678767],[0.70153751 0.47224633 0.50646318],[0.67075191 0.55787473 0.52110803],[0.56062097 0.45550041 0.4855285 ],[0.54768732 0.66571257 0.48851174],[0.58351629 0.70527597 0.49505987],[0.60440116 0.68766934 0.50435275],[0.46059238 0.44290173 0.48091055],[0.45646205 0.66576106 0.48627035],[0.50710593 0.66776769 0.50070616],[0.53320005 0.61654798 0.5163232 ],[0.38103682 0.40427369 0.47792437],[0.37506511 0.61440035 0.48815068],[0.42639774 0.61819029 0.51207066],[0.45152237 0.57191793 0.5314012 ],[0.32420813 0.34729123 0.4757859 ],[0.3147068  0.52067398 0.49762899],[0.35998351 0.54124876 0.52617107],[0.38663145 0.50431726 0.54899834]
[0.51425429 0.         0.49586875],[0.66519006 0.12111929 0.48160669],[0.72030115 0.29916072 0.48230557],[0.72357464 0.44604115 0.48687545],[0.72672349 0.54241184 0.49817151],[0.55099138 0.47464961 0.47869266],[0.53301568 0.68087206 0.47750721],[0.57618537 0.71889663 0.48132762],[0.60496495 0.69200438 0.48905891],[0.44648277 0.45115005 0.48410915],[0.43983261 0.66613108 0.49117861],[0.49663907 0.68076504 0.50444022],[0.52935319 0.6375976  0.51628506],[0.37356742 0.40313645 0.4893829 ],[0.36216274 0.60363798 0.49833241],[0.41557459 0.62342698 0.51806825],[0.44722264 0.58884189 0.53250693],[0.32624242 0.33852339 0.49324789],[0.3137579  0.49699243 0.51047809],[0.35305008 0.52870264 0.53534824],[0.38091356 0.50593879 0.55520788]
