[0.52218528 0.         0.49793452],[0.64148047 0.11408825 0.46566913],[0.70579606 0.27688759 0.45505985],[0.75005246 0.40625426 0.45310511],[0.77289879 0.50682153 0.4541366 ],[0.56558195 0.4195264  0.46197856],[0.52255425 0.60128495 0.45475068],[0.5131578  0.70223181 0.45252015],[0.5114968  0.77214621 0.45505335],[0.49340507 0.4085192  0.48493534],[0.45088119 0.59202129 0.49172525],[0.44579274 0.69651614 0.50551365],[0.44281233 0.76602928 0.51597251],[0.43643348 0.37965115 0.5070462 ],[0.40173534 0.54006582 0.51901768],[0.39904463 0.63711535 0.54037678],[0.39702118 0.70181544 0.55699399],[0.40113754 0.34023681 0.52636148],[0.37958651 0.47507398 0.54463758],[0.37548077 0.55351734 0.56842565],[0.37146534 0.61019719 0.58878594]
[0.53038836 0.         0.51804882],[0.63721739 0.13030485 0.49646332],[0.68253922 0.2966331  0.48332288],[0.70505761 0.43616075 0.47378803],[0.72394477 0.54482813 0.46770862],[0.56264194 0.45064241 0.49922673],[0.52959225 0.62066922 0.48598098],[0.52489779 0.71397357 0.47381035],[0.527367   0.77887943 0.46800493],[0.48789204 0.42909588 0.50190438],[0.45518162 0.60168589 0.50407581],[0.46080291 0.6920891  0.50494621],[0.46821403 0.74706304 0.5037088 ],[0.4302714  0.38189198 0.50242237],[0.40252081 0.53649718 0.50565782],[0.4138176  0.61574393 0.51692947],[0.42762907 0.6637177  0.52368647],[0.38614395 0.3219652  0.50028611],[0.36546785 0.451985   0.5073712 ],[0.37903012 0.5218332  0.52434423],[0.39938227 0.56434045 0.53831248]
[0.43178938 1.         0.88681083],[0.59798672 0.83980371 0.77167773],[0.69651798 0.59583543 0.64005661],[0.7834176  0.49548976 0.50866309],[0.86118855 0.55625848 0.368822  ],[0.6195896  0.88985742 0.58385756],[0.66475212 0.70181752 0.42824222],[0.64468909 0.42183572 0.30037861],[0.63626351 0.1854737  0.2314463 ],[0.49383211 0.84958899 0.57517126],[0.5484211  0.60602892 0.47694126],[0.5519061  0.29658667 0.40797967],[0.56059606 0.03292289 0.34435339],[0.36114967 0.81469259 0.56980867],[0.39712541 0.51949247 0.46235862],[0.39589354 0.25338673 0.44110598],[0.41214327 0.01659907 0.42244342],[0.23386541 0.74928255 0.55684171],[0.19226051 0.4438962  0.48938996],[0.19172156 0.21946508 0.51137498],[0.22489072 0.01168609 0.52227609]
[0.4916516 0.        0.5231625],[0.61793312 0.10376759 0.51122936],[0.65954206 0.28528278 0.50653858],[0.65064572 0.43687621 0.50376159],[0.61808121 0.52102119 0.503217  ],[0.57207767 0.41211046 0.49792711],[0.55831152 0.59892117 0.48430814],[0.56370846 0.69657232 0.47698442],[0.57144532 0.75466636 0.4738151 ],[0.48649179 0.41709218 0.49619423],[0.48291716 0.60287436 0.49391501],[0.4977628  0.68622127 0.49780263],[0.50798433 0.73490233 0.49916317],[0.41256643 0.39815765 0.49409474],[0.4116098  0.58253273 0.48992891],[0.4386069  0.64047011 0.50440726],[0.45550913 0.65612524 0.51469327],[0.3545262  0.36752878 0.49061917],[0.35351719 0.5177637  0.49424817],[0.3854741  0.55106532 0.51402217],[0.40963749 0.53604826 0.52996748]
[0.45049965 0.         0.53179759],[0.5850911  0.11967391 0.5382969 ],[0.63209238 0.2960182  0.5368019 ],[0.61445018 0.44512944 0.53167477],[0.56832262 0.52249074 0.52698394],[0.60191105 0.40366178 0.50966219],[0.6211185  0.61396499 0.49246439],[0.63133222 0.73558625 0.48557   ],[0.63899491 0.82299722 0.48306793],[0.50833247 0.43335148 0.49514229],[0.52065304 0.65295631 0.49078825],[0.53893881 0.74787249 0.49360204],[0.55269742 0.80549332 0.49517913],[0.41658464 0.42631772 0.48352758],[0.40208505 0.60566883 0.47394818],[0.41825185 0.56658817 0.4865042 ],[0.43242941 0.49940071 0.49904699],[0.33882762 0.39550746 0.47227303],[0.32646919 0.51120845 0.47199721],[0.3438676  0.47635157 0.49162788],[0.35705029 0.41976095 0.51004361]
[0.35419853 0.         0.50938408],[0.504448   0.08502597 0.52218901],[0.57459471 0.27572749 0.52525697],[0.60307429 0.46065165 0.52554172],[0.61420922 0.59528637 0.52829428],[0.54422388 0.3768262  0.49161564],[0.61365622 0.60151015 0.47741447],[0.65322799 0.67034626 0.47976912],[0.66878493 0.68624505 0.48839986],[0.45083753 0.42834381 0.48126172],[0.5223934  0.64464778 0.48318447],[0.56712367 0.64473174 0.49850584],[0.58259212 0.59440962 0.51101717],[0.36915973 0.4477255  0.47341878],[0.43602112 0.63466007 0.48136102],[0.47830511 0.61735817 0.50680037],[0.48701388 0.56174483 0.52349088],[0.30708583 0.44430041 0.46648401],[0.35855015 0.59032394 0.48371011],[0.39683695 0.59086538 0.51098418],[0.41366277 0.54926962 0.5319163 ]
[0.29159454 0.         0.60321188],[0.45285328 0.03339754 0.58148977],[0.57370993 0.18258016 0.5535118 ],[0.64123518 0.35094218 0.53210185],[0.66080339 0.48809996 0.51534619],[0.54692263 0.27553493 0.49057342],[0.63819202 0.53215352 0.45345407],[0.65167226 0.60414976 0.45478848],[0.64616501 0.62222672 0.46504556],[0.45239885 0.34443341 0.48739928],[0.54258235 0.62313007 0.45648447],[0.57088957 0.70164831 0.46507305],[0.58041557 0.72602667 0.4742387 ],[0.36229642 0.39937241 0.48780143],[0.44167665 0.65710668 0.46679031],[0.48299368 0.73647092 0.48789087],[0.50647751 0.76485149 0.50512736],[0.28415209 0.43441837 0.4890061 ],[0.3535938  0.6358167  0.48609115],[0.39507132 0.69091178 0.51158298],[0.42430395 0.69672841 0.53299128]
[0.13411998 0.02406388 0.57097282],[0.3192913 0.        0.6096267],[0.45555535 0.09125947 0.60116329],[0.52168569 0.23616614 0.57741159],[0.52456385 0.36231517 0.55561187],[0.55899592 0.16824287 0.55552374],[0.69906124 0.36595506 0.52740853],[0.68574679 0.47618241 0.5250321 ],[0.64248554 0.53881647 0.52743809],[0.50575734 0.31051049 0.50964868],[0.67156548 0.55805751 0.48260052],[0.65628339 0.67437134 0.47970777],[0.6033276  0.72148494 0.47960111],[0.41245918 0.43299223 0.46686846],[0.55868057 0.68871773 0.44238383],[0.55517392 0.81097961 0.44035656],[0.52142585 0.8714891  0.43869058],[0.28658479 0.53953305 0.42824215],[0.35808651 0.75972421 0.42190479],[0.39772785 0.88897348 0.42841277],[0.43142188 0.98016484 0.43139406]
[0.1140217 0.        0.5513939],[0.3036847  0.01999848 0.61167036],[0.44921169 0.13380657 0.61454484],[0.51750236 0.28478912 0.59727265],[0.5220785  0.41744029 0.58037463],[0.55168574 0.16344589 0.56845209],[0.68690282 0.39146635 0.53548502],[0.68404376 0.52925383 0.5247446 ],[0.63516231 0.60380489 0.52436994],[0.50668225 0.26775562 0.5113069 ],[0.66901824 0.51766767 0.48625632],[0.65844577 0.67309507 0.48508274],[0.60215448 0.75113623 0.48996015],[0.42180338 0.37361608 0.45690227],[0.56419235 0.63769065 0.43308052],[0.56068808 0.79365137 0.439652  ],[0.52268343 0.87720403 0.44892406],[0.30038705 0.48648507 0.40706311],[0.38463861 0.7319836  0.39846223],[0.4146024  0.87353939 0.41096771],[0.43041039 0.97216979 0.42403396]
[0.11107658 0.         0.53926157],[0.30454535 0.02998786 0.61008035],[0.45119871 0.14643901 0.61905147],[0.51354656 0.28671528 0.60759858],[0.51737627 0.42246615 0.5959172 ],[0.54709939 0.1742766  0.56595843],[0.69312549 0.38969099 0.53431007],[0.7001381  0.53903613 0.51920638],[0.66312485 0.63068667 0.51650217],[0.50539451 0.27132574 0.50862717],[0.66687408 0.52448669 0.48243445],[0.6610701  0.68638969 0.47589798],[0.6094683  0.77267398 0.47860379],[0.42819939 0.3637502  0.4559143 ],[0.56209031 0.63872891 0.43367279],[0.55641494 0.80049503 0.43813473],[0.51481686 0.89120695 0.44689951],[0.31456412 0.46161613 0.40903834],[0.37912842 0.70210338 0.40545387],[0.39853494 0.83772263 0.42084048],[0.40221272 0.93020199 0.43659637]
