[ 0.37012911  0.37263557 -0.5284096 ],[ 0.37990853  0.34820881 -0.52736837],[ 0.38613394  0.34563628 -0.52735156],[ 0.39242747  0.34247431 -0.52738363],[ 0.36538738  0.34865049 -0.51432568],[ 0.3613393   0.34702545 -0.51439655],[ 0.35800853  0.3452287  -0.51447731],[ 0.41060954  0.33475411 -0.39365163],[ 0.36439446  0.33751458 -0.3360284 ],[ 0.38313413  0.38784006 -0.46998042],[ 0.36693633  0.38817325 -0.45395508],[ 0.46965981  0.43202046 -0.22767922],[ 0.32341209  0.4211401  -0.19210781],[ 0.48073649  0.57500577 -0.07985719],[ 0.30671746  0.58493668 -0.31375548],[ 0.47625524  0.69713181 -0.12217698],[ 0.324936    0.54823083 -0.64783561],[ 0.47798219  0.73380154 -0.1390532 ],[ 0.3331314   0.53792363 -0.71032846],[ 0.47407737  0.73105526 -0.17967257],[ 0.33342582  0.5084728  -0.71871531],[ 0.46927428  0.72132093 -0.13464442],[ 0.33314854  0.50909722 -0.65717709],[ 0.41369501  0.70875847 -0.00158947],[0.33728176 0.69439244 0.00155291],[0.37410429 0.84790254 0.09747241],[0.29230946 0.86035168 0.10042951],[0.33697942 0.95960557 0.58427119],[0.2603206  0.96566099 0.46784458],[0.32880348 0.96548522 0.62698096],[0.26182637 0.97028095 0.50088161],[0.32293469 1.04660141 0.50345534],[0.24423942 1.05479407 0.34589589]
[ 0.3663007   0.37002096 -0.52269822],[ 0.37530532  0.34573656 -0.51904249],[ 0.38106897  0.34307206 -0.51901168],[ 0.38719192  0.33999431 -0.5190295 ],[ 0.36122164  0.34640828 -0.50773799],[ 0.35708624  0.34471568 -0.50779527],[ 0.35320899  0.34291154 -0.50786722],[ 0.40507025  0.33236808 -0.38382301],[ 0.35739917  0.33564773 -0.33430117],[ 0.37860847  0.38569596 -0.46386933],[ 0.36326534  0.38609311 -0.44949141],[ 0.4642027   0.43202356 -0.20962088],[ 0.31780615  0.4192256  -0.20291905],[ 0.48034424  0.58044612 -0.04785249],[ 0.30394208  0.58631194 -0.33645967],[ 0.47532088  0.70654696 -0.05824799],[ 0.32292515  0.5489819  -0.69387019],[ 0.47831041  0.74513471 -0.06970368],[ 0.33215183  0.53688794 -0.75911146],[ 0.47138634  0.74208909 -0.10970168],[ 0.3309477   0.5077799  -0.76694763],[ 0.46739864  0.73188126 -0.06930105],[ 0.33068004  0.50871503 -0.70302451],[0.40867582 0.70869029 0.00417093],[ 0.33268023  0.69368201 -0.00424073],[0.36680374 0.84804642 0.12829268],[0.28867143 0.86127734 0.06502531],[0.32842904 0.95989794 0.6210224 ],[0.25340414 0.96591973 0.41309398],[0.32139462 0.96596628 0.66362548],[0.25326174 0.97088128 0.44019407],[0.31785294 1.04844928 0.53912085],[0.2430785  1.05999553 0.33421433]
[ 0.36185342  0.36712277 -0.5300712 ],[ 0.3703742   0.34363112 -0.52691913],[ 0.37589657  0.34112492 -0.52686489],[ 0.38175529  0.33828932 -0.52685446],[ 0.35740197  0.34453252 -0.51335013],[ 0.35368952  0.34293774 -0.51340705],[ 0.35032076  0.34131613 -0.51347744],[ 0.40109795  0.33117619 -0.39638492],[ 0.35647255  0.33448017 -0.33670336],[ 0.3743071   0.38338068 -0.47360373],[ 0.36003739  0.38411313 -0.4561139 ],[ 0.46367192  0.43203172 -0.2225804 ],[ 0.31995052  0.4173536  -0.20891261],[ 0.48023573  0.5827533  -0.05199365],[ 0.30316177  0.58723921 -0.34194407],[ 0.47618231  0.70648658 -0.06914778],[ 0.3216961   0.5484814  -0.69564456],[ 0.47960553  0.74344879 -0.08126676],[ 0.32954001  0.53489536 -0.76008129],[ 0.47080225  0.73983157 -0.12224915],[ 0.32947171  0.50693518 -0.76820409],[ 0.46698126  0.73010546 -0.0803529 ],[ 0.32968193  0.50800586 -0.70487529],[0.40696678 0.70863444 0.00379463],[ 0.33307666  0.69246697 -0.00387001],[0.36803454 0.8474921  0.14434634],[0.28886124 0.86123359 0.06343089],[0.32723945 0.9599098  0.62558228],[0.25155813 0.96743369 0.39422768],[0.31893316 0.96622503 0.66703808],[0.25046149 0.973194   0.42091948],[0.3204425  1.04906011 0.54171443],[0.23997    1.06297088 0.30568922]
[ 0.36417019  0.36610705 -0.57209146],[ 0.37283498  0.34217757 -0.56731927],[ 0.37865672  0.33963391 -0.56724966],[ 0.38474467  0.33678713 -0.56721681],[ 0.35931614  0.34329876 -0.55732954],[ 0.3553713   0.34179837 -0.55739695],[ 0.35169333  0.34026915 -0.55745029],[ 0.40219051  0.33005252 -0.42429966],[ 0.35565135  0.33370253 -0.38162333],[ 0.37626249  0.38247797 -0.51023328],[ 0.36150178  0.38325059 -0.49762362],[ 0.46317106  0.43197945 -0.23207441],[ 0.31862658  0.41750297 -0.25380117],[ 0.48017615  0.5848186  -0.05155972],[ 0.30112633  0.59005398 -0.3874675 ],[ 0.47593513  0.70767599 -0.08143792],[ 0.32550943  0.54905701 -0.74486029],[ 0.47939596  0.74539912 -0.09635515],[ 0.33397588  0.53512967 -0.81335258],[ 0.46983194  0.74177784 -0.13848887],[ 0.33170468  0.50740278 -0.82098091],[ 0.46597824  0.73137629 -0.09376312],[ 0.33133236  0.50847191 -0.75358677],[0.40714294 0.70874214 0.0105489 ],[ 0.33411604  0.69276536 -0.01060171],[0.36776799 0.84468311 0.18504599],[0.28913343 0.86109787 0.06778948],[0.32807583 0.95977288 0.65822965],[0.25258058 0.96758538 0.39497489],[0.31843269 0.96607792 0.69899285],[0.25026211 0.973629   0.42257291],[0.32236359 1.047508   0.57519662],[0.24215586 1.06353998 0.27107224]
[ 0.36632827  0.36642641 -0.58158898],[ 0.37506583  0.34210384 -0.57773411],[ 0.38117135  0.3393946  -0.57767236],[ 0.38772324  0.33642027 -0.57767016],[ 0.360798    0.34347337 -0.56872571],[ 0.35653624  0.34199306 -0.56877434],[ 0.35240561  0.34046146 -0.56883907],[ 0.40413785  0.32951081 -0.43640929],[ 0.35413429  0.3337743  -0.39800289],[ 0.3788248   0.38287166 -0.51969349],[ 0.36289462  0.38350308 -0.50826305],[ 0.46414918  0.43199709 -0.2486027 ],[ 0.31711146  0.41772023 -0.2627126 ],[ 0.48009333  0.58666039 -0.06418879],[ 0.29922834  0.59236646 -0.38916606],[ 0.47599411  0.70821959 -0.09757415],[ 0.32254404  0.55191195 -0.74667054],[ 0.47878671  0.74485397 -0.11331373],[ 0.3314963   0.53656268 -0.81389064],[ 0.4690392   0.74110419 -0.15572432],[ 0.32887053  0.50785559 -0.82227433],[ 0.46519369  0.73098463 -0.11011036],[ 0.32796454  0.50904471 -0.75543535],[0.40745482 0.7090748  0.00975071],[ 0.33348984  0.69434297 -0.00978392],[0.36619595 0.84446853 0.15263279],[0.28931338 0.86229414 0.07058337],[0.32834765 0.95811546 0.61512011],[0.25431213 0.9652155  0.42956227],[0.31951565 0.96375698 0.65553367],[0.25429839 0.9685241  0.46169472],[0.31789491 1.04785478 0.5326584 ],[0.2471426  1.06977594 0.30122885]
[ 0.36497736  0.36650527 -0.56347513],[ 0.37385932  0.34198698 -0.56035149],[ 0.38004264  0.33929035 -0.56029969],[ 0.38654387  0.33636066 -0.56030792],[ 0.35968739  0.34333387 -0.5504874 ],[ 0.35545599  0.34182873 -0.55053121],[ 0.35141134  0.3402856  -0.55059409],[ 0.40340376  0.32947826 -0.4227789 ],[ 0.35447645  0.33341599 -0.38040313],[ 0.37731731  0.38281912 -0.50291884],[ 0.36173946  0.38347325 -0.49033895],[ 0.46433759  0.43105775 -0.24020498],[ 0.31649128  0.41783822 -0.24671888],[ 0.48003763  0.58571857 -0.06527822],[ 0.29857486  0.59362614 -0.37203759],[ 0.47608393  0.70759332 -0.10610928],[ 0.32209688  0.55189139 -0.71402341],[ 0.47835946  0.74442714 -0.12490314],[ 0.33144274  0.53639859 -0.77934563],[ 0.46870795  0.74118453 -0.16659358],[ 0.32986173  0.50787842 -0.78724509],[ 0.4648183   0.73100173 -0.11852004],[ 0.32869333  0.50906187 -0.72232926],[0.40823132 0.70906073 0.00945881],[ 0.33374327  0.69436836 -0.00951306],[0.36669785 0.84442097 0.14110556],[0.29006118 0.86238956 0.06865808],[0.32876337 0.95851743 0.60821688],[0.2555016  0.9653796  0.41034532],[0.31956869 0.9638496  0.64893901],[0.2550332  0.9692499  0.43989119],[0.31919435 1.04842532 0.52369976],[0.24762213 1.0713433  0.28275967]
[ 0.36315587  0.36666265 -0.56507969],[ 0.37174794  0.34212998 -0.56265599],[ 0.37760186  0.33945462 -0.56259853],[ 0.38388324  0.33652419 -0.56260252],[ 0.35824618  0.34336376 -0.55209512],[ 0.35430849  0.34180638 -0.55213678],[ 0.35055286  0.34022266 -0.5522033 ],[ 0.40165085  0.32955265 -0.4271988 ],[ 0.35519925  0.33318445 -0.38173056],[ 0.37516445  0.38299471 -0.50524175],[ 0.36042374  0.38353917 -0.49180847],[ 0.46370944  0.43092859 -0.24724662],[ 0.31643087  0.41773903 -0.24611178],[ 0.4799014   0.58500713 -0.07321554],[ 0.29771391  0.59387028 -0.36944428],[ 0.47628397  0.7069568  -0.10908847],[ 0.32240516  0.55083275 -0.71576995],[ 0.47819775  0.74384975 -0.12596127],[ 0.33226103  0.53529704 -0.78080022],[ 0.46877161  0.74044794 -0.1674287 ],[ 0.33053049  0.50633901 -0.78790796],[ 0.46478814  0.73043895 -0.12116275],[ 0.32936651  0.50779068 -0.72390777],[0.40809983 0.70899498 0.00801865],[ 0.3336764   0.6944409  -0.00807372],[0.36739808 0.84414726 0.13669017],[0.29068395 0.86235166 0.06908553],[0.32960224 0.95846534 0.60862029],[0.25740424 0.96200538 0.42201334],[0.32047826 0.96405387 0.64981568],[0.25671807 0.96811116 0.45385557],[0.32030702 1.04824114 0.52635401],[0.24912974 1.07038307 0.29420644]
[ 0.36343488  0.36682254 -0.5591104 ],[ 0.37197533  0.34226432 -0.55475181],[ 0.37789184  0.3395659  -0.55469608],[ 0.38433161  0.33655453 -0.55472928],[ 0.35845208  0.34344462 -0.54224098],[ 0.35456634  0.34188727 -0.54230595],[ 0.35084966  0.34030023 -0.54240721],[ 0.40156469  0.32917583 -0.42467347],[ 0.3557474   0.33302483 -0.36904499],[ 0.37610224  0.38309792 -0.50333846],[ 0.36084712  0.38358164 -0.48420602],[ 0.46297517  0.43047854 -0.24258205],[ 0.31598008  0.41759551 -0.24436815],[ 0.47956142  0.58409268 -0.06010072],[ 0.29863626  0.59378046 -0.36541969],[ 0.47628203  0.70594817 -0.08698571],[ 0.32092816  0.55015689 -0.7115196 ],[ 0.47817579  0.74344599 -0.1023849 ],[ 0.33074373  0.53439873 -0.77673531],[ 0.46868673  0.73980933 -0.14337194],[ 0.32880479  0.50497997 -0.78479898],[ 0.46458587  0.72977179 -0.09858276],[ 0.32748383  0.50666547 -0.72004664],[0.40823945 0.70886165 0.00822937],[ 0.3337138   0.69443965 -0.00824673],[0.36711881 0.84417593 0.13901122],[0.29105866 0.86244953 0.04820121],[0.32995126 0.9585228  0.61330932],[0.25786355 0.96242589 0.3810088 ],[0.32035545 0.96421522 0.65444666],[0.25704846 0.96845037 0.41031337],[0.32092422 1.04965591 0.53104657],[0.24968871 1.07359648 0.24120601]
[ 0.36389893  0.36688796 -0.57256114],[ 0.3726739   0.34200582 -0.56924659],[ 0.37868047  0.33921814 -0.5691852 ],[ 0.38522714  0.33616963 -0.56919706],[ 0.35896015  0.34337461 -0.55937111],[ 0.35498911  0.34182781 -0.55941659],[ 0.35122961  0.34023899 -0.55948174],[ 0.40202171  0.32886437 -0.4295176 ],[ 0.35602373  0.33285177 -0.38710189],[ 0.37686649  0.38308004 -0.51119977],[ 0.36124718  0.38365397 -0.49814707],[ 0.46309534  0.43001515 -0.24260971],[ 0.31553236  0.41739124 -0.25158846],[ 0.47949106  0.58362943 -0.06390456],[ 0.29944897  0.59309018 -0.37819201],[ 0.47618786  0.7053358  -0.09911503],[ 0.32099235  0.5501911  -0.73327911],[ 0.47791386  0.742737   -0.11644544],[ 0.33078003  0.53443485 -0.79985398],[ 0.46848759  0.73934978 -0.15899485],[ 0.32798404  0.50489938 -0.80908424],[ 0.46439561  0.7292878  -0.11165152],[ 0.3266741   0.5066942  -0.74252713],[0.40835944 0.70861435 0.00789331],[ 0.33348888  0.69429928 -0.00789218],[0.36712974 0.84419894 0.14188309],[0.29072845 0.86221421 0.05141365],[0.33007699 0.95852602 0.62042689],[0.25780937 0.96183944 0.38687506],[0.32030249 0.96436709 0.66175741],[0.25610524 0.9684996  0.41666254],[0.32131097 1.04968822 0.53602713],[0.24869792 1.07274795 0.24221015]
[ 0.36361933  0.36599737 -0.57158154],[ 0.37257522  0.34037751 -0.56849933],[ 0.37846828  0.33753949 -0.568443  ],[ 0.38482806  0.33454472 -0.56845921],[ 0.35901177  0.34206229 -0.55896515],[ 0.35514802  0.34060428 -0.55900627],[ 0.35150808  0.33912    -0.55907261],[ 0.40096608  0.32791573 -0.42924285],[ 0.35664633  0.33182177 -0.38854089],[ 0.37642556  0.38186541 -0.51021016],[ 0.36118889  0.38283032 -0.49805394],[ 0.46260065  0.42923748 -0.24509728],[ 0.31496131  0.41732472 -0.25175354],[ 0.47888923  0.58312547 -0.06384748],[ 0.30016446  0.59303838 -0.38213772],[ 0.47605309  0.70353353 -0.090812  ],[ 0.32149559  0.54698479 -0.73916066],[ 0.47777534  0.74033058 -0.10461026],[ 0.33063281  0.53021383 -0.80454665],[ 0.46850634  0.73696035 -0.1458846 ],[ 0.32758611  0.49871698 -0.81285018],[ 0.46439037  0.72716749 -0.10250983],[ 0.32640952  0.50158054 -0.74817181],[0.40856045 0.7071867  0.00766286],[ 0.33323699  0.69356829 -0.0076424 ],[0.36712003 0.8440913  0.14120701],[0.29079539 0.86110693 0.05246158],[0.3302213  0.95870149 0.61256051],[0.25785923 0.95889944 0.41792354],[0.32039005 0.96443784 0.65374202],[0.25634795 0.96402562 0.45121962],[0.3216469  1.04970086 0.52976048],[0.2487088  1.06755495 0.29202616]
