[0.69239962 0.26777995 0.10411604],[0.69053149 0.25439647 0.05942971],[0.68812484 0.253059   0.05947564],[0.68519652 0.25133973 0.05942114],[0.69882399 0.25688478 0.06557994],[0.69742656 0.25691828 0.06563523],[0.69227803 0.26000622 0.06552846],[ 0.68056691  0.25915787 -0.07895346],[ 0.688411    0.26456332 -0.05358149],[0.68547547 0.27820021 0.06355937],[0.69241452 0.27882445 0.07059121],[ 0.63301736  0.3313202  -0.12648717],[ 0.70812523  0.34774292 -0.07442955],[ 0.57575345  0.36933085 -0.00883712],[ 0.68071651  0.35250059 -0.09387168],[0.59672368 0.3387453  0.19925705],[ 0.68582135  0.29320353 -0.12305621],[0.59608132 0.33105674 0.21662903],[ 0.67686313  0.27011549 -0.12775075],[0.60606772 0.32664591 0.20549364],[ 0.66925943  0.26742616 -0.12951227],[0.60929954 0.33073479 0.20230241],[ 0.66830254  0.27186263 -0.1234007 ],[ 0.60820454  0.58623254 -0.01907739],[0.64045787 0.60350698 0.01892591],[0.58360833 0.72991937 0.13253871],[0.60072708 0.74435019 0.1828569 ],[0.5635221  0.87426573 0.24740657],[0.57343853 0.87164968 0.28947508],[0.55115592 0.89344275 0.25804883],[0.56686008 0.89467537 0.30887017],[0.54568303 0.87888908 0.22980317],[0.55354613 0.88267142 0.30763862]
[ 0.77160031  0.29471436 -0.30690378],[ 0.77235001  0.27317193 -0.2893275 ],[ 0.77367461  0.2733292  -0.28936329],[ 0.77506232  0.27364892 -0.28934303],[ 0.76416457  0.27061826 -0.30579406],[ 0.75914991  0.2688401  -0.30588508],[ 0.75363374  0.26717091 -0.30594012],[ 0.76157188  0.27598575 -0.16275077],[ 0.7279796   0.26833314 -0.23801179],[ 0.76741546  0.31447104 -0.25736019],[ 0.75597209  0.31039423 -0.27891359],[ 0.7814917   0.39337331 -0.06303515],[ 0.64581788  0.35769355 -0.1649268 ],[0.75983351 0.49352702 0.05898637],[ 0.56822515  0.43488196 -0.11165104],[0.71539086 0.55752826 0.03192457],[ 0.52326775  0.41291675 -0.16602825],[0.70214975 0.58264047 0.02239274],[ 0.50465047  0.39440128 -0.18283185],[ 0.6986782   0.57509583 -0.00328814],[ 0.51328093  0.38234901 -0.21803086],[0.70093668 0.5669651  0.02086394],[ 0.52092659  0.38661909 -0.18159823],[0.67663968 0.63471323 0.03788164],[ 0.61598432  0.6115877  -0.0379178 ],[0.62865412 0.78031421 0.19504455],[0.5773446  0.77854168 0.0323186 ],[0.59286034 0.86209351 0.46498737],[0.54214704 0.91358078 0.21456511],[0.58145434 0.87504601 0.48750144],[0.53618205 0.92604166 0.22735934],[0.60571969 0.92362303 0.40836662],[0.53372514 0.96430331 0.09256256]
[ 0.77114576  0.29490331 -0.3412067 ],[ 0.77207989  0.27323002 -0.32420149],[ 0.7735284   0.27346563 -0.32425329],[ 0.77503407  0.27387521 -0.3242352 ],[ 0.76334238  0.2705431  -0.3378517 ],[ 0.7581383   0.2687656  -0.33795759],[ 0.75230509  0.2670764  -0.33804268],[ 0.76180375  0.27655634 -0.19236724],[ 0.72698236  0.26838264 -0.24701253],[ 0.76746547  0.31532085 -0.28917196],[ 0.75528854  0.31090882 -0.30663675],[ 0.78229094  0.39426556 -0.08969693],[ 0.64566082  0.35896045 -0.16926664],[0.76092029 0.49596623 0.03016091],[ 0.56874543  0.44069904 -0.10047759],[ 0.71548671  0.56055701 -0.01342999],[ 0.51958996  0.41313851 -0.11804111],[ 0.70151722  0.58293247 -0.02528549],[ 0.49879378  0.39362189 -0.13175882],[ 0.69798124  0.57774287 -0.05399124],[ 0.50496012  0.37917659 -0.17099588],[ 0.70125127  0.5677669  -0.02614323],[ 0.51378018  0.3861452  -0.13461564],[0.67687356 0.63691264 0.03245302],[ 0.61591107  0.61293882 -0.03245997],[0.62844521 0.78107125 0.1819693 ],[0.57724959 0.77856582 0.02674905],[0.59301221 0.86219305 0.47707295],[0.54208612 0.91849011 0.22487116],[0.5829376  0.87432837 0.50338483],[0.53617358 0.93042743 0.2391053 ],[0.60491121 0.92368698 0.41938162],[0.52573806 0.96735436 0.09615322]
[ 0.77080834  0.29518992 -0.35231692],[ 0.77205962  0.27315885 -0.33510908],[ 0.7737245   0.27341661 -0.33515912],[ 0.77545595  0.27386653 -0.33513755],[ 0.76273131  0.27045584 -0.34744245],[ 0.75739962  0.2686981  -0.34754282],[ 0.75141108  0.26701859 -0.34762374],[ 0.76272529  0.27677813 -0.20463148],[ 0.72637832  0.26869151 -0.25098306],[ 0.76769018  0.31626695 -0.30118603],[ 0.75489593  0.31162319 -0.31709075],[ 0.78341031  0.39567944 -0.11016145],[ 0.64572227  0.36007833 -0.18722549],[ 0.76145369  0.50016969 -0.01835305],[ 0.56744164  0.4434604  -0.18148126],[ 0.71621937  0.5674547  -0.07544057],[ 0.51132393  0.41310874 -0.28485882],[ 0.70217651  0.59074718 -0.09254585],[ 0.48733979  0.39147419 -0.31154877],[ 0.69865119  0.58558083 -0.1179506 ],[ 0.49392548  0.37568349 -0.3504037 ],[ 0.70194614  0.57526189 -0.0871859 ],[ 0.50361121  0.38362747 -0.3039133 ],[0.67768455 0.63818932 0.03250298],[ 0.61631048  0.61491024 -0.03250777],[0.62907577 0.78121084 0.1926821 ],[0.57690489 0.78046703 0.01729999],[0.59370297 0.86188501 0.48832726],[0.54189414 0.91821897 0.18252149],[0.58333087 0.87399858 0.51385874],[0.5360868  0.92954654 0.19340438],[0.60554606 0.92383027 0.43850547],[0.52887094 0.98211128 0.05665014]
[ 0.77151155  0.29616466 -0.3560347 ],[ 0.77248609  0.27366212 -0.33991858],[ 0.77408504  0.27392465 -0.33996093],[ 0.77570927  0.27439681 -0.33994442],[ 0.76320899  0.27089718 -0.35351375],[ 0.75794172  0.26913479 -0.35361594],[ 0.75196785  0.26745975 -0.3537007 ],[ 0.76303661  0.27721173 -0.21157095],[ 0.72627389  0.26930201 -0.26889554],[ 0.76850969  0.3173334  -0.30500594],[ 0.75579959  0.31258631 -0.32254541],[ 0.78423369  0.39596021 -0.10875857],[ 0.64606118  0.36090037 -0.20256719],[0.76214188 0.50057691 0.0092349 ],[ 0.56657428  0.44351217 -0.16039284],[ 0.71814573  0.56687623 -0.02276232],[ 0.50811851  0.41257    -0.20237641],[ 0.70352191  0.59140491 -0.03167599],[ 0.48285979  0.3883937  -0.21911395],[ 0.70116436  0.58365315 -0.05748769],[ 0.48725319  0.37002546 -0.25964743],[ 0.703771    0.57542229 -0.03405345],[ 0.49805522  0.38090119 -0.22047147],[0.6776644  0.63848025 0.03470486],[ 0.61614782  0.61526418 -0.03475755],[0.62902564 0.78129113 0.20576124],[0.57666433 0.78014958 0.02153846],[0.59350199 0.86173612 0.50288308],[0.54167378 0.91586    0.1974701 ],[0.58315426 0.87382782 0.52868092],[0.53600961 0.92781562 0.21011987],[0.60568684 0.92482603 0.45533961],[0.53267515 0.98836207 0.07455431]
[ 0.77229428  0.2966361  -0.3535082 ],[ 0.77290881  0.27381989 -0.337421  ],[ 0.77441674  0.27404559 -0.33746293],[ 0.77593672  0.27448827 -0.33744612],[ 0.76380438  0.27112973 -0.35226357],[ 0.7586543   0.26939499 -0.35235828],[ 0.75279361  0.26773581 -0.35243526],[ 0.76289207  0.27744523 -0.20999272],[ 0.72652948  0.26983386 -0.27579394],[ 0.76932925  0.31798923 -0.30270681],[ 0.75684804  0.31330577 -0.32180142],[ 0.78438127  0.39598686 -0.10906794],[ 0.64671141  0.36179072 -0.21044362],[0.76341534 0.49959213 0.00405395],[ 0.5661335   0.44461262 -0.16839105],[ 0.71909899  0.56781769 -0.0351058 ],[ 0.50848377  0.41430792 -0.20604233],[ 0.70414227  0.59370494 -0.04447027],[ 0.48072848  0.39088961 -0.22358851],[ 0.70126081  0.5876891  -0.07067604],[ 0.48839045  0.37199244 -0.26302904],[ 0.70445138  0.57751101 -0.04695765],[ 0.49918514  0.38191015 -0.22396345],[0.67775714 0.63907188 0.03578756],[ 0.61654568  0.61573756 -0.03585004],[0.62964517 0.78086376 0.20564346],[0.57690728 0.77821237 0.02583317],[0.59367985 0.86166406 0.48782548],[0.54280752 0.91222817 0.21600707],[0.58322656 0.8738004  0.51167548],[0.53669423 0.92480099 0.229948  ],[0.60640377 0.92530072 0.44151363],[0.53363913 0.98438364 0.09138166]
[ 0.77347744  0.29639891 -0.35668141],[ 0.77380347  0.27370137 -0.34066144],[ 0.77532464  0.27394572 -0.34070307],[ 0.77686703  0.27440655 -0.34068626],[ 0.76461816  0.27106068 -0.35588846],[ 0.75949651  0.26936498 -0.35598743],[ 0.75359136  0.267721   -0.35606951],[ 0.76356745  0.27735719 -0.21587983],[ 0.72727883  0.26977736 -0.28575274],[ 0.77070415  0.31778684 -0.30710715],[ 0.75826907  0.31316397 -0.32676929],[ 0.78470266  0.39686769 -0.1223798 ],[ 0.64726776  0.36192483 -0.22152424],[ 0.76229525  0.50329435 -0.02791198],[ 0.56594115  0.44620794 -0.18704055],[ 0.71788275  0.57244605 -0.08106983],[ 0.5063886   0.41406518 -0.22980838],[ 0.70323855  0.59758395 -0.09360795],[ 0.48025489  0.38933429 -0.24789038],[ 0.70047462  0.59103012 -0.11840308],[ 0.48527807  0.36843458 -0.28685775],[ 0.70357174  0.5803166  -0.09294721],[ 0.49583429  0.37904042 -0.24779737],[0.6782335  0.63996178 0.03591242],[ 0.61654329  0.61689484 -0.0359791 ],[0.62962109 0.78127998 0.20471556],[0.57682413 0.77753609 0.02458079],[0.59339404 0.86281413 0.48440027],[0.54258454 0.91182315 0.20287177],[0.58195317 0.87742817 0.50796986],[0.53659272 0.92667454 0.21534562],[0.60653156 0.92670023 0.44058579],[0.53334582 0.9852438  0.08262672]
[ 0.77445138  0.29630709 -0.35759124],[ 0.77458918  0.27343938 -0.34163231],[ 0.77620143  0.2737208  -0.34167904],[ 0.7778666   0.27422553 -0.34166545],[ 0.76517308  0.27088419 -0.35664219],[ 0.7599622   0.26926935 -0.35674077],[ 0.75389558  0.26766306 -0.35682479],[ 0.76442683  0.27729052 -0.21643713],[ 0.72756952  0.26974255 -0.28605932],[ 0.77193654  0.31766316 -0.30774504],[ 0.75919807  0.31311145 -0.3271758 ],[ 0.78546935  0.39720625 -0.12163706],[ 0.64757651  0.36184499 -0.21947618],[ 0.76222515  0.50743032 -0.02513682],[ 0.56576341  0.44645607 -0.17591472],[ 0.71710968  0.5760181  -0.08147541],[ 0.50801754  0.41402632 -0.21458216],[ 0.70320237  0.60112339 -0.09583622],[ 0.48265904  0.38954127 -0.2319874 ],[ 0.69999158  0.59363502 -0.12101535],[ 0.48910564  0.37013575 -0.27188113],[ 0.70300531  0.58573031 -0.09347172],[ 0.49930793  0.37998208 -0.23258695],[0.67833495 0.64034426 0.03645495],[ 0.61638564  0.61688447 -0.03652714],[0.62961167 0.78230244 0.20459411],[0.57702148 0.77799761 0.02713975],[0.59300798 0.86277944 0.4855904 ],[0.54260862 0.91342586 0.20753567],[0.58169425 0.87646842 0.50952059],[0.5365268  0.92831504 0.2205466 ],[0.60661    0.92687827 0.4395687 ],[0.53315681 0.9797619  0.08865959]
[ 0.77559102  0.2961511  -0.35589787],[ 0.77524936  0.27328631 -0.33934444],[ 0.77670223  0.27358145 -0.33938906],[ 0.77820712  0.2741107  -0.33937711],[ 0.76615185  0.27077368 -0.35453105],[ 0.76102412  0.26919463 -0.35463196],[ 0.75515026  0.26761147 -0.35470855],[ 0.76456076  0.27723652 -0.21250136],[ 0.72849298  0.26972148 -0.28410685],[ 0.7725383   0.31757164 -0.30513149],[ 0.76004016  0.31304601 -0.32507974],[ 0.78540999  0.39720771 -0.11809023],[ 0.64776307  0.36167735 -0.21568128],[ 0.76185232  0.50827914 -0.03097832],[ 0.56571853  0.44578928 -0.23260291],[ 0.71679056  0.5799948  -0.09467603],[ 0.50926054  0.41397503 -0.36163342],[ 0.70279557  0.60980386 -0.11169292],[ 0.48524493  0.38893434 -0.39171621],[ 0.69972146  0.60116994 -0.13643286],[ 0.49187946  0.36980963 -0.42815691],[ 0.70263875  0.59029216 -0.10604205],[ 0.50178152  0.38014051 -0.38049582],[0.67851168 0.64021546 0.03645202],[ 0.61632252  0.61682546 -0.03652037],[0.62972534 0.78255498 0.20561452],[0.57695818 0.77850127 0.01617533],[0.5929786  0.86312407 0.49744448],[0.54256183 0.91629732 0.18653539],[0.58169353 0.8763628  0.52277714],[0.53633922 0.93022728 0.19822106],[0.60685748 0.92788494 0.44945678],[0.53262722 0.97689378 0.06141986]
[ 0.77616775  0.29609224 -0.35473087],[ 0.77550972  0.2732501  -0.33830383],[ 0.77679086  0.27356264 -0.33834311],[ 0.77813864  0.27406654 -0.33832929],[ 0.76673329  0.27073181 -0.35329962],[ 0.76166964  0.26916999 -0.35340112],[ 0.75587445  0.26760307 -0.35347283],[ 0.76431608  0.27721092 -0.21309224],[ 0.72910416  0.26974881 -0.28343964],[ 0.7726897   0.31755215 -0.30490673],[ 0.7606529   0.31304565 -0.32452622],[ 0.78543222  0.39818728 -0.13049854],[ 0.64763826  0.36159828 -0.21684496],[ 0.76149148  0.51149327 -0.05295847],[ 0.56490546  0.4469043  -0.23930588],[ 0.71656471  0.58508396 -0.10478141],[ 0.50926006  0.40687287 -0.35051781],[ 0.70252854  0.61413282 -0.11874694],[ 0.48602733  0.37665036 -0.37614405],[ 0.69951111  0.60451877 -0.14026327],[ 0.49343747  0.36154461 -0.40671277],[ 0.70237148  0.59331816 -0.11435629],[ 0.50318372  0.37371927 -0.36666283],[0.67846358 0.64173186 0.03577271],[ 0.61625773  0.61781555 -0.03584656],[0.62970412 0.78324193 0.18990645],[0.57701886 0.7796312  0.0196399 ],[0.5938791  0.86235398 0.49535012],[0.5424999  0.915178   0.21223739],[0.58260548 0.87559873 0.52044451],[0.53630424 0.92927593 0.22787738],[0.60696399 0.92619663 0.44826522],[0.53256047 0.97645116 0.10060309]
[ 0.77578336  0.29661494 -0.35722417],[ 0.77526581  0.27379307 -0.34081322],[ 0.77655965  0.27405453 -0.34084839],[ 0.77791655  0.27449557 -0.34083927],[ 0.7664699   0.27120858 -0.35556543],[ 0.76139313  0.26962039 -0.35566983],[ 0.7555722   0.26798674 -0.35574895],[ 0.76413733  0.27760887 -0.21501736],[ 0.7289654   0.27021453 -0.28399044],[ 0.7723304   0.31870475 -0.30717856],[ 0.76027083  0.31392998 -0.32635456],[ 0.78517413  0.39901784 -0.12402917],[ 0.64759552  0.36240748 -0.21518584],[ 0.7612353   0.51063788 -0.01217156],[ 0.56182528  0.4480615  -0.216029  ],[ 0.71628362  0.58144271 -0.01893301],[ 0.50979292  0.40684479 -0.29322046],[ 0.7029466   0.6089896  -0.02248082],[ 0.48696232  0.37834427 -0.31629223],[ 0.6999352   0.6010164  -0.04536801],[ 0.49428385  0.36277154 -0.35508242],[ 0.70241308  0.58944666 -0.02804882],[ 0.50357759  0.37346599 -0.31176189],[0.67806596 0.64319837 0.03557346],[ 0.61551011  0.6183356  -0.03565088],[0.62824923 0.78699803 0.18613362],[0.57656085 0.78266513 0.02821038],[0.59387648 0.86187035 0.49613976],[0.54228747 0.91753608 0.24229696],[0.58259827 0.8743034  0.52306646],[0.53606719 0.93068308 0.25969437],[0.60683072 0.92551517 0.45086226],[0.5319103  0.97533721 0.12931833]
[ 0.77555734  0.29711118 -0.36225465],[ 0.77522409  0.27438185 -0.34650466],[ 0.77650821  0.2745983  -0.34651726],[ 0.77785778  0.2749919  -0.34649616],[ 0.7664147   0.27177092 -0.36188522],[ 0.7613076   0.27011049 -0.36199442],[ 0.75535882  0.26839226 -0.36205631],[ 0.76400971  0.27823925 -0.22042367],[ 0.72873515  0.2704367  -0.29242092],[ 0.77227658  0.31931543 -0.31171402],[ 0.76002228  0.31463754 -0.33174574],[ 0.78497231  0.39898178 -0.12095141],[ 0.6467644   0.36239836 -0.21395028],[0.76103866 0.50960761 0.01450308],[ 0.55789858  0.45046055 -0.14441022],[0.71601576 0.57949555 0.00997949],[ 0.51631361  0.40704855 -0.12309217],[0.70292819 0.60740739 0.00878486],[ 0.49655539  0.3798382  -0.12756577],[ 0.70015049  0.59820628 -0.01598884],[ 0.50833082  0.36367089 -0.15368354],[7.02762067e-01 5.87396979e-01 9.37609730e-05],[ 0.5155254   0.37345919 -0.13266283],[0.67802745 0.64303321 0.03480744],[ 0.61547506  0.61857623 -0.0348886 ],[0.62832105 0.78661865 0.17448063],[0.57653266 0.78209811 0.04880881],[0.59454167 0.86084819 0.47616726],[0.54295599 0.91420186 0.27686673],[0.5831579  0.8723042  0.50236773],[0.53690296 0.92744285 0.29531756],[0.60767365 0.92302597 0.42748451],[0.53159928 0.97183955 0.16748993]
[ 0.77515417  0.29786873 -0.33110091],[ 0.77518851  0.27509683 -0.31382251],[ 0.77644843  0.27535167 -0.31385571],[ 0.77778316  0.27578297 -0.3138324 ],[ 0.76620078  0.27230036 -0.32791618],[ 0.76093566  0.27053836 -0.32800931],[ 0.75465393  0.26870224 -0.32807624],[ 0.76390654  0.27900138 -0.18596505],[ 0.72799695  0.27050915 -0.25305235],[ 0.77195376  0.32005581 -0.28058228],[ 0.75918448  0.31548259 -0.29928467],[ 0.78475726  0.39891773 -0.09913056],[ 0.64608759  0.36254901 -0.18067361],[0.75917804 0.5090239  0.01284164],[ 0.55801082  0.45075828 -0.18736586],[ 0.71472961  0.58060068 -0.0014703 ],[ 0.52007639  0.40713102 -0.31744033],[ 0.70238507  0.61027205 -0.00517589],[ 0.50566834  0.38048309 -0.34439921],[ 0.70006847  0.60258746 -0.02990435],[ 0.5158608   0.36441982 -0.36902389],[ 0.70193768  0.59071183 -0.01187777],[ 0.52238613  0.3736693  -0.3310532 ],[0.67800683 0.64282036 0.03255089],[ 0.6152795   0.61883903 -0.03262033],[0.62831753 0.78631359 0.15632942],[0.57632554 0.78169835 0.0465841 ],[0.59470326 0.86000121 0.4562026 ],[0.54327571 0.91395384 0.26419562],[0.58344471 0.87007844 0.48208565],[0.53820896 0.92688638 0.2815167 ],[0.60765517 0.92203885 0.40812963],[0.53040069 0.97013026 0.15424067]
[ 0.77481306  0.29732066 -0.33222052],[ 0.77476561  0.27498513 -0.31517673],[ 0.77609473  0.27526245 -0.31520855],[ 0.77746063  0.27570698 -0.31517732],[ 0.76562053  0.27220672 -0.3291029 ],[ 0.76017535  0.27045304 -0.32919687],[ 0.75364786  0.26860467 -0.32926005],[ 0.76388705  0.27896595 -0.18886046],[ 0.72743189  0.27049392 -0.25488392],[ 0.77174425  0.31954527 -0.28250021],[ 0.75877309  0.31522363 -0.30086082],[ 0.78416401  0.39884099 -0.10008384],[ 0.64524293  0.3626433  -0.1822207 ],[0.75721085 0.50856733 0.012193  ],[ 0.55831069  0.45331639 -0.19665167],[ 0.71344399  0.57967627 -0.0081079 ],[ 0.52496731  0.40328208 -0.31851402],[ 0.70202357  0.6081906  -0.01403355],[ 0.51478046  0.37739009 -0.34314516],[ 0.69999665  0.60049313 -0.03893112],[ 0.52641827  0.36174062 -0.36523071],[ 0.70106906  0.58975583 -0.01882135],[ 0.53250611  0.36922807 -0.33041117],[0.67794847 0.64268547 0.03225363],[ 0.61524427  0.61897081 -0.03232547],[0.62833422 0.78602022 0.16450217],[0.57619119 0.7815268  0.05043072],[0.59448868 0.86121094 0.45126   ],[0.54323566 0.91355813 0.26599747],[0.58301961 0.87153351 0.4752993 ],[0.53833848 0.92655975 0.28317267],[0.60752398 0.92393339 0.39873067],[0.53038549 0.97000766 0.15705426]
[ 0.77165902  0.29734567 -0.3380619 ],[ 0.77313083  0.27508593 -0.32065445],[ 0.77496517  0.27539057 -0.32068956],[ 0.77671778  0.27585733 -0.32065073],[ 0.76278311  0.27227601 -0.33173105],[ 0.75640929  0.27049366 -0.33181903],[ 0.74912095  0.26864508 -0.33188143],[ 0.7638123   0.27932113 -0.19435687],[ 0.72474837  0.27048746 -0.25967228],[ 0.7697345   0.31949627 -0.28873795],[ 0.75535083  0.31517211 -0.30335766],[ 0.78297204  0.39868274 -0.10944662],[ 0.64304185  0.36296698 -0.18572886],[ 0.75514907  0.50848401 -0.00482206],[ 0.55750412  0.45813152 -0.19671954],[ 0.71157515  0.57919806 -0.02610683],[ 0.52852464  0.40370351 -0.30869523],[ 0.70124841  0.60755974 -0.03296863],[ 0.51918572  0.37839201 -0.33261549],[ 0.69909579  0.60022479 -0.05562549],[ 0.53085297  0.36226904 -0.35400522],[ 0.69992524  0.58880115 -0.03563732],[ 0.53722674  0.36984488 -0.32010299],[0.67767417 0.64255708 0.03093769],[ 0.61514711  0.61939299 -0.03101564],[0.62833375 0.78518385 0.16758777],[0.57615638 0.78145528 0.05870099],[0.59448391 0.86103994 0.45559543],[0.54318678 0.91341281 0.27565545],[0.58295339 0.87123638 0.47997555],[0.53837562 0.92634875 0.29300457],[0.60740077 0.92357761 0.40334386],[0.53037572 0.96987849 0.16733763]
[ 0.77112603  0.29742053 -0.33852473],[ 0.77216119  0.27517858 -0.32180557],[ 0.77372777  0.275453   -0.32184154],[ 0.77519858  0.27589002 -0.32180858],[ 0.76236475  0.27245134 -0.33231813],[ 0.75617743  0.27066863 -0.3324098 ],[ 0.74902862  0.26882583 -0.33246595],[ 0.76156747  0.27930397 -0.19520548],[ 0.72422391  0.27052134 -0.2714617 ],[ 0.76845592  0.31945851 -0.28977349],[ 0.75490499  0.31513461 -0.3081961 ],[ 0.77958024  0.396604   -0.11874304],[ 0.64061201  0.36302415 -0.19919233],[ 0.75314403  0.50644362 -0.04096088],[ 0.55304557  0.46194294 -0.22709315],[ 0.70958251  0.57905281 -0.09540021],[ 0.53151691  0.40805277 -0.3385511 ],[ 0.69797319  0.60645097 -0.10852446],[ 0.5227614   0.37888974 -0.36385947],[ 0.69745868  0.59992242 -0.12806877],[ 0.53341687  0.36270076 -0.37961367],[ 0.69811559  0.58819544 -0.1046816 ],[ 0.53926343  0.37005156 -0.34729642],[0.67710209 0.64182359 0.03102772],[ 0.61488569  0.61932528 -0.03110403],[0.62832862 0.78429258 0.17441955],[0.57605761 0.78057247 0.05541546],[0.59443831 0.86148393 0.45534864],[0.5430218  0.91337484 0.26888058],[0.582645   0.87277788 0.478549  ],[0.53827596 0.92615533 0.2835291 ],[0.60800898 0.92373532 0.40250641],[0.53027427 0.96967846 0.16662048]
[ 0.76832855  0.29928806 -0.33949789],[ 0.76916367  0.27631092 -0.32270852],[ 0.77056754  0.27641022 -0.32274544],[ 0.77184463  0.27665278 -0.32271761],[ 0.75964296  0.27383077 -0.33348033],[ 0.75330359  0.27198467 -0.33356866],[ 0.74604857  0.27016571 -0.3336266 ],[ 0.7580204   0.27965575 -0.19864105],[ 0.72143686  0.27128416 -0.2752133 ],[ 0.76556039  0.3203195  -0.2900607 ],[ 0.75240028  0.31657499 -0.30931848],[ 0.77664912  0.39626178 -0.12080564],[ 0.63777798  0.36384523 -0.20056185],[ 0.74987131  0.506226   -0.0350167 ],[ 0.54885018  0.46408972 -0.21806672],[ 0.70705402  0.57884479 -0.08735159],[ 0.53323108  0.41088825 -0.26766971],[ 0.69561422  0.60540211 -0.09959324],[ 0.52549833  0.37909591 -0.28360289],[ 0.69448024  0.59970796 -0.11911106],[ 0.53638512  0.36220971 -0.29243711],[ 0.69444811  0.58786905 -0.09617163],[ 0.5406372   0.37046173 -0.27019954],[0.67509693 0.64178956 0.03206199],[ 0.61301196  0.62007838 -0.03216585],[0.62707943 0.78484517 0.19947161],[0.57484341 0.78254682 0.05364616],[0.59415281 0.86199069 0.45871115],[0.54195774 0.91511863 0.23940361],[0.58224535 0.87391549 0.47885448],[0.53773588 0.9292745  0.25261188],[0.6083442  0.92372638 0.40503493],[0.53026611 0.97045368 0.12930353]
[ 0.76603055  0.29991704 -0.33984777],[ 0.76628745  0.27684247 -0.32300085],[ 0.76746768  0.27687013 -0.32302755],[ 0.76851135  0.27702805 -0.32299358],[ 0.75721687  0.27461988 -0.33518407],[ 0.75080782  0.27283266 -0.33527571],[ 0.74357325  0.27115041 -0.33533806],[ 0.75410718  0.27995479 -0.19922084],[ 0.71868539  0.27213231 -0.27971196],[ 0.76287156  0.32077307 -0.2907882 ],[ 0.75007361  0.31743661 -0.30958533],[ 0.77390814  0.39570463 -0.12209215],[ 0.63534558  0.36512426 -0.2057064 ],[ 0.7471019   0.50560635 -0.0319389 ],[ 0.54176825  0.46807525 -0.21574423],[ 0.70374113  0.57813346 -0.07736197],[ 0.53501642  0.41277689 -0.28599837],[ 0.69243228  0.60508782 -0.08729865],[ 0.53134173  0.37838504 -0.30454391],[ 0.69221169  0.59928697 -0.1062329 ],[ 0.54119337  0.36041823 -0.30875027],[ 0.6918174   0.58768094 -0.08549716],[ 0.54549092  0.37082654 -0.28824109],[0.67311329 0.64176786 0.03245882],[ 0.61125743  0.62082767 -0.03258455],[0.62519437 0.78512806 0.20169762],[0.57378536 0.78382069 0.07571654],[0.59307706 0.86434555 0.46017799],[0.54194629 0.91568476 0.28598049],[0.58190691 0.87434512 0.48152146],[0.53777683 0.92903411 0.30346733],[0.60778886 0.92548239 0.40810505],[0.53026617 0.97032601 0.18773912]
[ 0.76419705  0.30097961 -0.33524799],[ 0.76409274  0.27820939 -0.31769812],[ 0.7649008   0.27809116 -0.31770372],[ 0.76551992  0.27806032 -0.31765428],[ 0.75580788  0.27628598 -0.33430505],[ 0.74991667  0.27462119 -0.33439973],[ 0.74310505  0.27301604 -0.3344571 ],[ 0.74945807  0.28033763 -0.19658038],[ 0.71752357  0.27320549 -0.28140998],[ 0.75993049  0.32112247 -0.28764027],[ 0.7485382   0.31814119 -0.30979604],[ 0.77051359  0.39446849 -0.12156713],[ 0.63219118  0.36563504 -0.20944031],[ 0.74707669  0.50095147 -0.02340595],[ 0.53765208  0.47154528 -0.22683103],[ 0.7023083   0.56495923 -0.05378052],[ 0.53450012  0.41494352 -0.31682345],[ 0.69055903  0.59561646 -0.06097696],[ 0.53344905  0.37898922 -0.33969298],[ 0.69231719  0.59062517 -0.07607867],[ 0.54432261  0.36253875 -0.34571257],[ 0.69222623  0.58063984 -0.05947972],[ 0.54753959  0.37391856 -0.31993058],[0.67035645 0.64171731 0.03204737],[ 0.60905367  0.62104577 -0.03217062],[0.62358665 0.78526974 0.21046829],[0.57261139 0.78484952 0.07858873],[0.59294254 0.864272   0.47068119],[0.54152381 0.91743672 0.28638777],[0.58190322 0.87482727 0.49215055],[0.53777504 0.9313308  0.30342931],[0.60689867 0.92710984 0.4203406 ],[0.53018963 0.97101796 0.1844665 ]
