[ 0.60346895  0.2436876  -0.27807611],[ 0.60624433  0.22511135 -0.26246741],[ 0.60915488  0.22500055 -0.26257735],[ 0.61157578  0.22453927 -0.26270404],[ 0.59913361  0.22495185 -0.25809628],[ 0.59673953  0.22445489 -0.25808752],[ 0.59481764  0.22406913 -0.25822884],[ 0.61530215  0.22832531 -0.14608124],[ 0.59452891  0.22811975 -0.12693372],[ 0.60950077  0.25682962 -0.2322094 ],[ 0.60025966  0.25420716 -0.22692028],[ 0.6472823   0.3250238  -0.11651442],[ 0.55759001  0.32042015 -0.07285507],[ 0.65836275  0.41457748 -0.30604634],[ 0.49343163  0.36433828 -0.24013023],[ 0.64824039  0.36335155 -0.51413119],[ 0.50794989  0.31963867 -0.44956857],[ 0.64770037  0.35043648 -0.56028235],[ 0.51071483  0.31003985 -0.49613851],[ 0.64830363  0.34154132 -0.55505186],[ 0.51636416  0.30103713 -0.50150692],[ 0.64414853  0.34771183 -0.51831532],[ 0.51778698  0.30793819 -0.45456952],[ 0.60373497  0.59780151 -0.00200084],[0.55023694 0.58543968 0.00214907],[0.56648058 0.7680701  0.08628128],[0.53482163 0.75393939 0.11060532],[0.52798325 0.86332572 0.38951012],[0.53078556 0.87753922 0.38404077],[0.51745671 0.87692547 0.41528702],[0.53284609 0.89996076 0.40727314],[0.52650064 0.91424495 0.30892745],[0.50552529 0.92937511 0.28819877]
[ 0.62899703  0.24572183 -0.27266085],[ 0.6327368   0.22695652 -0.25310835],[ 0.63489187  0.22668749 -0.25318515],[ 0.6364814   0.22617412 -0.2532618 ],[ 0.62349707  0.22469118 -0.25845551],[ 0.62025774  0.22341987 -0.25849006],[ 0.61568981  0.2217095  -0.25867203],[ 0.63251173  0.22860476 -0.11967447],[ 0.61030304  0.22505045 -0.14677121],[ 0.62945908  0.25962451 -0.22015516],[ 0.61984897  0.25598508 -0.22836253],[ 0.66655141  0.33072856 -0.06712562],[ 0.5660587   0.31261879 -0.10876383],[ 0.67406911  0.41599643 -0.18184236],[ 0.51143277  0.35431919 -0.32283089],[ 0.65638131  0.37699521 -0.33525395],[ 0.55374473  0.31081745 -0.58085454],[ 0.65197873  0.3704018  -0.37197226],[ 0.56401265  0.30282962 -0.63398409],[ 0.65236247  0.3586241  -0.37064922],[ 0.56980592  0.29348201 -0.62170285],[ 0.65055597  0.36223847 -0.33888024],[ 0.56824154  0.30009121 -0.58333999],[0.61114895 0.58968329 0.00159665],[ 0.55693686  0.57787395 -0.00146155],[0.57785356 0.75132787 0.08571212],[0.54091638 0.7374813  0.07700559],[0.54523236 0.84795159 0.38466036],[0.5337345  0.86769867 0.35160273],[0.53773963 0.85522777 0.40913185],[0.53420866 0.88798589 0.37439612],[0.54645878 0.89860529 0.29524663],[0.5192681  0.9189291  0.23997836]
[ 0.62764347  0.24863937 -0.25337678],[ 0.63298333  0.22986868 -0.23855448],[ 0.63611901  0.22979599 -0.23860686],[ 0.63956016  0.2297819  -0.23867695],[ 0.62202853  0.22814181 -0.2335594 ],[ 0.61831218  0.22747709 -0.23361301],[ 0.61387408  0.22659677 -0.23374423],[ 0.63977993  0.23438822 -0.1242971 ],[ 0.60888672  0.23213287 -0.10153148],[ 0.6316461   0.26466078 -0.20803007],[ 0.61976302  0.26104462 -0.20186988],[ 0.67314893  0.33476198 -0.07279236],[ 0.56399173  0.31333819 -0.02494718],[ 0.6665417   0.41106901 -0.09038658],[ 0.50729591  0.34638533 -0.14752527],[ 0.65092009  0.42191637 -0.16155209],[ 0.53092277  0.31404456 -0.36221379],[ 0.64461368  0.4263072  -0.17717102],[ 0.54049903  0.30605543 -0.39703551],[ 0.64619678  0.41329554 -0.18884343],[ 0.54547632  0.2942172  -0.38778394],[ 0.64573699  0.41176906 -0.16632771],[ 0.54549932  0.30045658 -0.36502835],[ 0.61052793  0.5884608  -0.01668892],[0.55163407 0.5760138  0.01667662],[ 0.58108407  0.75146288 -0.00755579],[0.53668809 0.73301452 0.05932991],[0.54585505 0.85734457 0.26991731],[0.53549516 0.85739541 0.30314922],[0.54048061 0.87149012 0.29029286],[0.53883219 0.87724197 0.32297164],[0.54448164 0.91073602 0.16646163],[0.51197189 0.90486199 0.20214216]
[ 0.65210998  0.24789336 -0.31321406],[ 0.6518963   0.2292413  -0.29448923],[ 0.65382808  0.22890089 -0.29450423],[ 0.65564418  0.22861968 -0.29453292],[ 0.64218086  0.22839172 -0.30149555],[ 0.63717937  0.22748999 -0.3015551 ],[ 0.63162422  0.22651836 -0.30160075],[ 0.64599383  0.23112415 -0.15654716],[ 0.61350763  0.22994278 -0.19010448],[ 0.65217102  0.26531917 -0.25811175],[ 0.63948643  0.26252523 -0.26808408],[ 0.67904198  0.33360255 -0.0656865 ],[ 0.5556047   0.30887672 -0.10421389],[0.67053401 0.43897417 0.03957172],[ 0.47456947  0.38131425 -0.22019243],[0.65053409 0.53180611 0.00569247],[ 0.5051893   0.31015238 -0.49383527],[ 0.63986552  0.57123673 -0.00184214],[ 0.52559251  0.29107678 -0.54332387],[ 0.63695937  0.56248921 -0.03020631],[ 0.52784979  0.28334174 -0.54338324],[ 0.63729703  0.55133313 -0.00444747],[ 0.52301997  0.29199797 -0.50081056],[ 0.61512077  0.58741796 -0.00454432],[0.55251372 0.57557291 0.00442582],[0.58481836 0.75513238 0.04768996],[0.53471267 0.72749329 0.07983531],[0.55441111 0.85809332 0.36519453],[0.53000152 0.84532243 0.37196004],[0.54732609 0.8714481  0.39082235],[0.53253973 0.86020195 0.39789075],[0.5591957  0.92031306 0.27659005],[0.50946492 0.90004027 0.28004366]
[ 0.6575824   0.24717151 -0.32660115],[ 0.65643036  0.22907679 -0.30661988],[ 0.65802634  0.22864805 -0.30663389],[ 0.65948677  0.22821948 -0.30665576],[ 0.64714831  0.22860721 -0.31742343],[ 0.64228058  0.22773947 -0.3174949 ],[ 0.63672453  0.22667766 -0.31755126],[ 0.64772505  0.2302788  -0.16407908],[ 0.6149438   0.22898729 -0.21471885],[ 0.65753168  0.26556835 -0.26995713],[ 0.6455003   0.26363447 -0.28499478],[ 0.68112642  0.33443591 -0.06485219],[ 0.55442458  0.30836833 -0.13319638],[0.67279303 0.44590658 0.04877364],[ 0.47763926  0.38023508 -0.27026924],[0.65029949 0.54554754 0.02211297],[ 0.49769649  0.30194452 -0.54562932],[0.6379658  0.58460277 0.01614323],[ 0.51272148  0.28343189 -0.59903538],[ 0.63425648  0.57735276 -0.0114923 ],[ 0.5176515   0.27685216 -0.59843898],[0.63530838 0.56658185 0.01193742],[ 0.51379943  0.28367606 -0.55189031],[0.61544764 0.59059781 0.00432838],[ 0.55087256  0.57747161 -0.00445918],[0.5846687  0.75590801 0.06162437],[0.53487098 0.73043954 0.09257401],[0.55791152 0.86035162 0.38755888],[0.52851331 0.84136397 0.39342797],[0.55021244 0.87460452 0.41419449],[0.52968746 0.8558625  0.41129184],[0.56416082 0.92660087 0.29731831],[0.50913996 0.90043354 0.30109057]
[ 0.65834248  0.24743576 -0.32185775],[ 0.65647     0.22887672 -0.30155677],[ 0.65776527  0.22843997 -0.30157551],[ 0.65887302  0.22799855 -0.30161047],[ 0.64789617  0.22850628 -0.31579569],[ 0.64321977  0.22769748 -0.31586415],[ 0.63793373  0.22671379 -0.31590086],[ 0.64652377  0.22927859 -0.15660623],[ 0.61668205  0.22854502 -0.22300005],[ 0.65739155  0.26613289 -0.26407322],[ 0.64536119  0.26444089 -0.2838406 ],[ 0.68153328  0.33508432 -0.05570306],[ 0.55432451  0.30764756 -0.14549105],[0.67464912 0.44810849 0.06463565],[ 0.48194879  0.37047619 -0.30668348],[0.65103471 0.55529577 0.05413734],[ 0.49479866  0.30382273 -0.57930112],[0.63904649 0.59071231 0.05074546],[ 0.50650895  0.28750244 -0.63509202],[0.63560253 0.58378249 0.01983084],[ 0.51276398  0.28205433 -0.63501316],[0.63711333 0.57210594 0.04326353],[ 0.5096674   0.28732455 -0.58659303],[0.61528134 0.59230924 0.01334798],[ 0.54995275  0.5796513  -0.01340454],[0.58571619 0.75713784 0.06768332],[0.53516519 0.73280942 0.09639578],[0.56024933 0.86357081 0.39505738],[0.52786732 0.84276479 0.42307812],[0.5509795  0.87817287 0.42196965],[0.52782828 0.85848081 0.4516286 ],[0.56847924 0.93013722 0.30070105],[0.51008695 0.90302885 0.31923836]
[ 0.66233546  0.2476196  -0.34038585],[ 0.66135836  0.22841592 -0.31936663],[ 0.66300523  0.22822705 -0.31937894],[ 0.66457516  0.22809605 -0.319408  ],[ 0.65200728  0.22746186 -0.33082071],[ 0.64705563  0.22644791 -0.3308914 ],[ 0.64154887  0.2253522  -0.33093703],[ 0.65330487  0.23022243 -0.17063592],[ 0.62018669  0.22669822 -0.22816059],[ 0.66135836  0.26680908 -0.2819359 ],[ 0.6487354   0.26497    -0.29815739],[ 0.68441182  0.33812907 -0.07118524],[ 0.55297351  0.30791995 -0.14496617],[0.67918515 0.45290956 0.04064877],[ 0.46932745  0.37818164 -0.29514658],[ 0.64994413  0.57177049 -0.00140228],[ 0.49255896  0.30603614 -0.55035985],[ 0.63810611  0.60921949 -0.01396065],[ 0.50376648  0.28863379 -0.60360885],[ 0.63352549  0.60085499 -0.03968165],[ 0.50986063  0.28393489 -0.6003058 ],[ 0.63574696  0.5874126  -0.01088923],[ 0.5088104   0.29055706 -0.55474061],[0.61643898 0.59584415 0.01321684],[ 0.54861522  0.58318299 -0.01328245],[0.58675754 0.76097655 0.07129433],[0.53466523 0.73607546 0.08760888],[0.56101263 0.86359906 0.42975983],[0.52962482 0.8411504  0.42441884],[0.55157703 0.87667191 0.46158418],[0.52932137 0.85566717 0.45291391],[0.57222122 0.93002874 0.35110199],[0.51122701 0.90323311 0.3233732 ]
[ 0.66187274  0.24865954 -0.3167682 ],[ 0.65966731  0.22995715 -0.29610372],[ 0.66075265  0.22970518 -0.29612994],[ 0.66174233  0.22950922 -0.29618081],[ 0.65139008  0.22911161 -0.31026828],[ 0.64687884  0.22812864 -0.3103314 ],[ 0.64185441  0.22703245 -0.31035891],[ 0.6495955   0.23112731 -0.15165824],[ 0.62032723  0.22819692 -0.21990502],[ 0.65996575  0.26761615 -0.25953525],[ 0.64833605  0.26577049 -0.279351  ],[ 0.68389016  0.33915263 -0.05920602],[ 0.55472875  0.30762106 -0.14368662],[0.68034667 0.45562968 0.04246083],[ 0.47951365  0.37023681 -0.29734388],[0.65298164 0.56390375 0.00205776],[ 0.49256325  0.31269845 -0.57403958],[ 0.64004743  0.59873855 -0.00983265],[ 0.50350934  0.2973575  -0.6314894 ],[ 0.63492936  0.58859605 -0.04128949],[ 0.50921774  0.28932366 -0.63344413],[ 0.63731599  0.57561743 -0.00944807],[ 0.50748837  0.29484925 -0.58260065],[0.61583769 0.59462678 0.01342197],[ 0.54840934  0.58174515 -0.01343076],[0.58864778 0.75897342 0.06495658],[0.53426266 0.7311973  0.09342472],[0.56267846 0.86336923 0.40112266],[0.52937311 0.8392759  0.4275434 ],[0.55400074 0.8764357  0.42905235],[0.53067368 0.85390496 0.45695215],[0.57315296 0.931319   0.30827847],[0.5094974  0.90330452 0.32379398]
[ 0.66148496  0.24960609 -0.3137494 ],[ 0.66013575  0.23092477 -0.29222187],[ 0.66162646  0.23074307 -0.29223725],[ 0.66301286  0.23061997 -0.29228362],[ 0.65112019  0.23001377 -0.30366004],[ 0.64649832  0.22910255 -0.30371848],[ 0.64139563  0.22811767 -0.30373195],[ 0.6523937   0.23274519 -0.14689775],[ 0.62055618  0.23010847 -0.20361075],[ 0.66052121  0.26861221 -0.25650567],[ 0.64850336  0.26670849 -0.27297539],[ 0.68471581  0.34087428 -0.06198316],[ 0.55742007  0.30850998 -0.12286681],[0.68171918 0.45779479 0.02520831],[ 0.47861642  0.3536559  -0.27928323],[ 0.65017575  0.56769556 -0.01768725],[ 0.49155831  0.31112006 -0.54959643],[ 0.63651502  0.60398364 -0.03025384],[ 0.50329977  0.29826057 -0.60453403],[ 0.63134021  0.5929966  -0.0602448 ],[ 0.50902218  0.29063326 -0.60587829],[ 0.63410318  0.57960659 -0.02827032],[ 0.50705504  0.29657182 -0.5577538 ],[0.61465728 0.59591347 0.01185935],[ 0.54791504  0.58217472 -0.01186318],[0.58773768 0.75799841 0.05661592],[0.53419584 0.73139369 0.08978652],[0.56269395 0.86195791 0.38375929],[0.53037369 0.8388837  0.40900025],[0.55616742 0.87399381 0.41015029],[0.53247344 0.85275513 0.43649888],[0.56519669 0.9282437  0.28731328],[0.51053101 0.90286064 0.30931038]
[ 0.66460848  0.25093248 -0.32841918],[ 0.66360182  0.23197301 -0.30828887],[ 0.66515112  0.2318213  -0.30830941],[ 0.66661394  0.23171282 -0.30836016],[ 0.65456665  0.23102595 -0.31833458],[ 0.6498099   0.23016462 -0.31839737],[ 0.64446509  0.22925968 -0.31843969],[ 0.65526235  0.23395245 -0.16258839],[ 0.62285405  0.23131232 -0.21385941],[ 0.66346586  0.27000341 -0.27162626],[ 0.65104222  0.26812142 -0.28587252],[ 0.68870968  0.34180704 -0.07508159],[ 0.5558356   0.31058899 -0.12996508],[0.68244094 0.46618241 0.01315917],[ 0.47305551  0.37003529 -0.27877724],[ 0.64750016  0.58031714 -0.03757685],[ 0.49113554  0.31464353 -0.54835892],[ 0.63414019  0.61587971 -0.05255155],[ 0.5021444   0.29965231 -0.60360444],[ 0.62906909  0.6082862  -0.07834916],[ 0.5078994   0.29396918 -0.60305178],[ 0.63179028  0.59495467 -0.04690377],[ 0.50736398  0.30009782 -0.55492604],[0.61374772 0.59807801 0.01017459],[ 0.54707134  0.58469111 -0.01026339],[0.58326042 0.75937283 0.06147077],[0.53362286 0.73480588 0.09269928],[0.56156385 0.86363465 0.42954713],[0.53033042 0.83666617 0.43127537],[0.55680186 0.87417012 0.46077356],[0.53427601 0.84827203 0.46263844],[0.55925858 0.92840618 0.34440559],[0.50957227 0.90338016 0.34199247]
