[0.63454217 0.31464159 0.11156805],[0.63494718 0.29819551 0.06567793],[0.63126713 0.29735896 0.06565371],[0.6247021  0.29552284 0.06553115],[0.64515799 0.30108669 0.08058052],[0.64722437 0.30170158 0.08060566],[0.64838547 0.30197081 0.08050822],[ 0.6203019   0.30173579 -0.09040716],[ 0.65098798  0.30788982 -0.01868311],[0.62862355 0.32829836 0.06551363],[0.63920569 0.33261403 0.08477616],[ 0.574368    0.37994394 -0.12876466],[ 0.69538796  0.41208592 -0.0298821 ],[ 0.55301899  0.4000923  -0.01792645],[0.70381248 0.42335469 0.08301356],[0.57554251 0.3548291  0.09242672],[0.78705353 0.40044269 0.19275326],[0.57477868 0.34722272 0.08436523],[0.8043009  0.42286783 0.19636187],[0.5825724  0.34209904 0.07559459],[0.78571868 0.44123504 0.18523958],[0.58436406 0.3476586  0.0944204 ],[0.77816808 0.40338379 0.19186158],[ 0.55173874  0.66116148 -0.06036551],[0.62379801 0.67052954 0.0598781 ],[0.55584699 0.82397151 0.12827809],[0.60829175 0.7873925  0.31088883],[0.53729922 0.9351685  0.22419879],[0.58267921 0.87134087 0.51926208],[0.54766929 0.95962256 0.23620203],[0.57980281 0.89375591 0.54479492],[0.5136224  0.94877267 0.20652476],[0.55898362 0.89154357 0.56196666]
[ 0.70522237  0.34337276 -0.20748559],[ 0.7068243   0.32342836 -0.1766291 ],[ 0.70777899  0.32336944 -0.17668398],[ 0.70839268  0.32339248 -0.17674786],[ 0.69841421  0.32062545 -0.20670024],[ 0.69265717  0.31834048 -0.20678441],[ 0.68632352  0.31599957 -0.20682457],[ 0.69019991  0.3229931  -0.02686022],[ 0.66195416  0.31263819 -0.16451915],[ 0.69920909  0.36044583 -0.15025046],[ 0.68919545  0.35738257 -0.18955559],[0.67963308 0.4272598  0.09759735],[ 0.58930665  0.40340701 -0.18905595],[0.65913618 0.55786353 0.19131091],[ 0.52462518  0.48724794 -0.37867323],[0.65436327 0.66562855 0.13254461],[ 0.57951295  0.34384692 -0.55964309],[0.65008497 0.70569569 0.12669495],[ 0.59850943  0.32875189 -0.61427885],[0.65199894 0.70329106 0.10244226],[ 0.60792661  0.32580334 -0.58594692],[0.65205258 0.69070721 0.12061442],[ 0.60390759  0.33078209 -0.55051237],[0.6142863  0.73024046 0.1045869 ],[ 0.56784445  0.71817619 -0.10468636],[0.55839837 0.89273262 0.2205694 ],[ 0.57562375  0.91702145 -0.06677295],[0.49155912 1.0038327  0.52380627],[0.58982599 1.08852053 0.13252029],[0.47393736 0.99712962 0.55201524],[0.5718559  1.10721636 0.15176867],[0.52588022 1.07190359 0.496903  ],[0.64574963 1.16979587 0.01137212]
[ 0.70292181  0.34280196 -0.21250394],[ 0.70441735  0.32330418 -0.18194723],[ 0.70541108  0.3232871  -0.18199973],[ 0.70619118  0.32334292 -0.18206094],[ 0.6962527   0.32045275 -0.21263599],[ 0.69054854  0.31813824 -0.21271367],[ 0.68477124  0.31577688 -0.21277097],[ 0.68767732  0.32295167 -0.03062725],[ 0.66094714  0.31202123 -0.17142829],[ 0.69664896  0.3599833  -0.1542559 ],[ 0.68679279  0.35678303 -0.194521  ],[0.67663783 0.42693248 0.09824626],[ 0.58973873  0.39658162 -0.19792852],[0.65581721 0.55798471 0.19078663],[ 0.52275157  0.47329399 -0.3913303 ],[0.65251589 0.66960073 0.1285613 ],[ 0.58628702  0.35194811 -0.58569527],[0.64738828 0.71264923 0.11972097],[ 0.60447472  0.35224864 -0.6428715 ],[0.65134323 0.70827138 0.09332709],[ 0.61520708  0.34877422 -0.61717474],[0.649387   0.69342363 0.11570426],[ 0.61106819  0.35093746 -0.57791924],[0.61283028 0.7301476  0.10656967],[ 0.5678212   0.71823627 -0.10667282],[0.55840433 0.89181286 0.23624739],[ 0.57558042  0.91889709 -0.04878982],[0.49084491 1.00118041 0.55479306],[0.58923084 1.08902371 0.16103336],[0.47377315 0.97892201 0.58482796],[0.57170141 1.1082629  0.18176518],[0.52533174 1.06738102 0.52720869],[0.64615005 1.16940677 0.05087617]
[ 0.70023936  0.3425163  -0.21721986],[ 0.70218009  0.32327729 -0.18736397],[ 0.7033934   0.32325804 -0.1874164 ],[ 0.70449644  0.32332841 -0.18747531],[ 0.69382763  0.32038772 -0.21781297],[ 0.68799078  0.31800902 -0.21788004],[ 0.68253219  0.31562889 -0.21793604],[ 0.68730772  0.32292512 -0.03514038],[ 0.65980566  0.31147417 -0.17486851],[ 0.69458503  0.35982749 -0.15836428],[ 0.68455374  0.35601333 -0.19822614],[0.67559022 0.42532915 0.09573347],[ 0.59073758  0.38712278 -0.20202963],[0.65626252 0.55025345 0.1947498 ],[ 0.51968491  0.46272776 -0.40969127],[0.65366036 0.64851117 0.13575819],[ 0.59177506  0.3582691  -0.61576635],[0.65217268 0.6822992  0.12292192],[ 0.60688376  0.36265752 -0.67648476],[0.65356612 0.67605358 0.09914505],[ 0.61904186  0.36338001 -0.64225572],[0.65005922 0.66513962 0.12055545],[ 0.61538851  0.36458537 -0.60427457],[0.612782   0.72568125 0.10629916],[ 0.56829137  0.71354508 -0.10637838],[0.55838543 0.88834298 0.23917966],[ 0.57556355  0.91870081 -0.04777261],[0.49065956 0.99861836 0.55100143],[0.58280343 1.09567261 0.15028977],[0.47375941 0.97489512 0.57953763],[0.5639382  1.11705446 0.1682516 ],[0.52376264 1.06417143 0.51863176],[0.6374709  1.17413831 0.0360245 ]
[ 0.70015299  0.34032038 -0.21834671],[ 0.70171332  0.32126868 -0.18841298],[ 0.70292485  0.32128668 -0.18847594],[ 0.70404208  0.32138485 -0.18854734],[ 0.69326931  0.3184571  -0.2187064 ],[ 0.68735546  0.31622064 -0.21877968],[ 0.68172324  0.31402251 -0.21884689],[ 0.68693525  0.32098001 -0.03365714],[ 0.65923458  0.31083772 -0.17255993],[ 0.69440323  0.3583079  -0.15837882],[ 0.68455678  0.35433894 -0.1981286 ],[0.67627132 0.42261228 0.09843589],[ 0.59155345  0.38446397 -0.20406416],[0.66245699 0.54537553 0.18430568],[ 0.51651591  0.45043036 -0.43952957],[0.65389878 0.65014309 0.1178446 ],[ 0.59210002  0.36560357 -0.65887266],[0.65444517 0.68907428 0.10794996],[ 0.60797769  0.36385974 -0.7215814 ],[0.65231848 0.67964667 0.08175428],[ 0.61923945  0.35473794 -0.68949556],[0.65039742 0.66855347 0.10449801],[ 0.61233073  0.36502871 -0.64926827],[0.61285055 0.72396427 0.10744607],[ 0.56673914  0.71129882 -0.10752934],[0.55856276 0.88778079 0.24114478],[ 0.5755555   0.91478503 -0.05597787],[0.49168497 1.00053537 0.56242943],[0.59096181 1.09222102 0.12892064],[0.47404876 1.00583541 0.59205526],[0.57362509 1.11340368 0.14624529],[0.52437174 1.06733251 0.52676308],[0.64682835 1.17081916 0.01599059]
[ 0.69829595  0.33981857 -0.21839416],[ 0.69929993  0.32028788 -0.18840711],[ 0.70019448  0.32016462 -0.18847424],[ 0.70095599  0.32012397 -0.18854699],[ 0.69107777  0.31782255 -0.21869907],[ 0.68559074  0.31577891 -0.21878187],[ 0.6802038   0.31372941 -0.21886849],[ 0.6815868   0.31960499 -0.03343742],[ 0.65788823  0.31079778 -0.17275926],[ 0.69204116  0.35809764 -0.15817171],[ 0.68283617  0.35405618 -0.1980684 ],[0.6768083  0.42144957 0.09601057],[ 0.58965123  0.38559061 -0.20544486],[0.66244328 0.54587597 0.16172449],[ 0.51132858  0.44088688 -0.43864831],[0.64786994 0.66129607 0.08742698],[ 0.59050494  0.37693754 -0.65002251],[0.64303648 0.70392162 0.07498989],[ 0.60646993  0.36970362 -0.71112698],[0.64279521 0.70113242 0.05027691],[ 0.61683905  0.35544416 -0.6823284 ],[0.64404124 0.68310523 0.07516827],[ 0.61073244  0.36737379 -0.64158916],[0.61261874 0.72042066 0.10762082],[ 0.56389296  0.70737159 -0.1077018 ],[0.5586192  0.88543499 0.23990783],[ 0.57547343  0.91012651 -0.05768729],[0.49266735 1.0006758  0.55428034],[0.59473163 1.07919276 0.12981936],[0.47478962 1.01478899 0.58315033],[0.57784593 1.09932899 0.14765628],[0.5257706  1.06720865 0.51618141],[0.65100658 1.15621543 0.01980063]
[ 0.69559705  0.33919001 -0.23661816],[ 0.69642127  0.31917906 -0.20478837],[ 0.6971246   0.31900305 -0.20485266],[ 0.69772309  0.31892613 -0.20495987],[ 0.6883114   0.31684759 -0.23659523],[ 0.68331486  0.31492996 -0.23664901],[ 0.67802393  0.31294554 -0.23667376],[ 0.6777668   0.31882587 -0.04175269],[ 0.65558827  0.31046489 -0.18864508],[ 0.68854451  0.35779038 -0.17383073],[ 0.67979228  0.35369959 -0.21594019],[0.67617166 0.42136043 0.09536215],[ 0.58695203  0.38739938 -0.22824006],[0.65983832 0.54624647 0.19534062],[ 0.51263404  0.43307498 -0.47906011],[0.64876968 0.65826243 0.18504485],[ 0.58053577  0.37890288 -0.72582418],[0.64407229 0.69882643 0.19034122],[ 0.59245163  0.36930624 -0.79084629],[0.64424396 0.69740224 0.15933707],[ 0.60383761  0.35581681 -0.76236707],[0.6444937  0.68315196 0.17238194],[ 0.59962046  0.36498559 -0.71988636],[0.61145312 0.71907055 0.11135528],[ 0.56232226  0.70733958 -0.11146524],[0.55842698 0.88141853 0.27717137],[ 0.57547462  0.90650409 -0.05587044],[0.49546307 1.00070357 0.57441938],[0.5899232  1.07973504 0.12451396],[0.47722989 1.01687849 0.60153615],[0.57192618 1.09969187 0.14089087],[0.53057826 1.06648207 0.54066944],[0.64499229 1.15712214 0.01793431]
[ 0.69363648  0.33824295 -0.23787482],[ 0.69405532  0.31721583 -0.20559792],[ 0.69440293  0.31690648 -0.20566571],[ 0.69460022  0.31672731 -0.20576179],[ 0.68664515  0.31545618 -0.2362951 ],[ 0.68193036  0.31377962 -0.23635778],[ 0.67683685  0.31202796 -0.2363915 ],[ 0.67385209  0.31735438 -0.04200422],[ 0.65411556  0.30991587 -0.18328433],[ 0.68549794  0.3574799  -0.17537963],[ 0.67706585  0.35356629 -0.21576111],[0.67618066 0.42137939 0.08243645],[ 0.58173895  0.38788548 -0.22745292],[0.65983492 0.54643333 0.16173102],[ 0.51774585  0.42855725 -0.46936217],[0.64935726 0.65831131 0.13187772],[ 0.59128928  0.34595975 -0.68645114],[0.64472997 0.69863832 0.12818038],[ 0.60286617  0.31614292 -0.74858904],[0.64513814 0.697326   0.10402791],[ 0.60705906  0.31400016 -0.7207638 ],[0.64498925 0.68429416 0.12122645],[ 0.60472     0.32661593 -0.67964113],[0.61134738 0.71856618 0.10809014],[ 0.56068379  0.70715147 -0.10819666],[0.55843914 0.88095737 0.26032251],[ 0.57452512  0.90479863 -0.06769826],[0.49583483 1.00195301 0.574099  ],[0.58867776 1.07589543 0.11901475],[0.47764128 1.02009082 0.60309273],[0.57155764 1.09611559 0.13611794],[0.53063828 1.06885695 0.53952146],[0.64023322 1.1541841  0.0036835 ]
[ 0.69146448  0.33524522 -0.25788459],[ 0.69139987  0.31375682 -0.22556397],[ 0.69177562  0.31345469 -0.22564304],[ 0.69208252  0.3133404  -0.22574446],[ 0.68398631  0.31246138 -0.25773185],[ 0.67920417  0.31116644 -0.257788  ],[ 0.67402256  0.30981645 -0.25781268],[ 0.67142451  0.31448969 -0.05850005],[ 0.65097612  0.3095383  -0.20572662],[ 0.68310714  0.35553762 -0.19366339],[ 0.67483371  0.35220626 -0.23572902],[0.67246592 0.42076847 0.07297681],[ 0.58033311  0.39292753 -0.24963725],[0.65605909 0.54656315 0.16311297],[ 0.5213201   0.41699964 -0.502671  ],[0.64627928 0.66138166 0.12878832],[ 0.58916914  0.34427881 -0.72647119],[0.64214289 0.69787908 0.12634443],[ 0.60271561  0.31106806 -0.79105866],[0.64328641 0.69675452 0.10025372],[ 0.60471815  0.31069225 -0.76611632],[0.64292884 0.68484157 0.11738286],[ 0.60463727  0.32361355 -0.72183996],[0.60490108 0.71873313 0.11281047],[ 0.55919111  0.70764011 -0.11291049],[0.55726588 0.8803702  0.3022663 ],[ 0.57441247  0.90329564 -0.04462723],[0.50034267 1.00209939 0.59164822],[0.58621204 1.07505822 0.12724088],[0.48302364 1.0222609  0.6182667 ],[0.56818753 1.09517074 0.14256711],[0.54065233 1.06616509 0.56066144],[0.63989908 1.15182984 0.02912789]
[ 0.69005907  0.33513308 -0.2581833 ],[ 0.68979323  0.31348097 -0.22696379],[ 0.6899091   0.31319448 -0.22705027],[ 0.68992198  0.31310764 -0.22713912],[ 0.68283194  0.31205592 -0.26203272],[ 0.67808425  0.3106685  -0.26208606],[ 0.67288834  0.3092187  -0.26210535],[ 0.6685074   0.31281662 -0.05894092],[ 0.64974058  0.30839095 -0.22167742],[ 0.68097675  0.35506973 -0.19304673],[ 0.67340803  0.35150635 -0.23918054],[0.67105442 0.41912481 0.07447387],[ 0.57406801  0.39282453 -0.2667228 ],[0.656084   0.5410744  0.17186095],[ 0.53339195  0.40664968 -0.5572933 ],[0.64380562 0.66130048 0.12964153],[ 0.55036134  0.35951841 -0.87169445],[0.63699591 0.69871521 0.12717685],[ 0.54355228  0.3438853  -0.95061743],[0.63826764 0.69491249 0.10077403],[ 0.55170953  0.34283096 -0.94128001],[0.63729709 0.68440706 0.11804757],[ 0.5553863   0.3506726  -0.87700558],[0.60448086 0.71708834 0.11857164],[ 0.5555917   0.70735115 -0.11862931],[0.55716342 0.8794871  0.29768765],[ 0.57297182  0.90295565 -0.05063374],[0.50349993 1.00253606 0.58597308],[0.56994146 1.0709703  0.12701806],[0.4859561  1.02364075 0.6135875 ],[0.55057257 1.09186208 0.14301293],[0.54466641 1.06606424 0.55429929],[0.62208498 1.14677596 0.02432844]
[ 0.68883288  0.33413404 -0.264202  ],[ 0.68788683  0.31154338 -0.23507003],[ 0.68788731  0.31122634 -0.23514731],[ 0.68777645  0.31108618 -0.23522861],[ 0.68079752  0.31009275 -0.26980931],[ 0.67584002  0.30864942 -0.26988736],[ 0.67047209  0.30712011 -0.26991946],[ 0.66496694  0.31078318 -0.06673485],[ 0.64693797  0.30741844 -0.22791716],[ 0.67887926  0.3546209  -0.19792964],[ 0.67159832  0.35092509 -0.24405184],[0.66866696 0.41820776 0.073828  ],[ 0.5747329   0.39414355 -0.27599448],[0.65584958 0.53681022 0.1848661 ],[ 0.5347898   0.3993513  -0.58970118],[0.64276874 0.66280866 0.13943665],[ 0.53565335  0.35707077 -0.92777139],[0.63681108 0.69913596 0.13520391],[ 0.52543914  0.34395891 -1.01156783],[0.63728011 0.69762254 0.10231292],[ 0.53499919  0.35554403 -1.00356328],[0.63676679 0.68456852 0.12520221],[ 0.53987747  0.36094093 -0.93449008],[0.60495096 0.71658409 0.11946508],[ 0.5548203   0.70754433 -0.11953475],[0.55750847 0.87812245 0.29142135],[0.57251823 0.90030026 0.0142547 ],[0.5042541  1.00332177 0.58380187],[0.56888556 1.060601   0.24972916],[0.48614231 1.02474535 0.60941732],[0.54964769 1.08053982 0.27257198],[0.54470825 1.06605363 0.55086535],[0.62154728 1.13692534 0.16168036]
[ 0.68651122  0.3335312  -0.26236647],[ 0.6854251   0.31086972 -0.23092389],[ 0.68546402  0.31054774 -0.2310147 ],[ 0.68540883  0.3103787  -0.23110919],[ 0.67846751  0.30937803 -0.26291227],[ 0.67361426  0.30790377 -0.26298803],[ 0.66843951  0.3063359  -0.26302612],[ 0.66292936  0.3101638  -0.0651567 ],[ 0.64442098  0.3071048  -0.22412315],[ 0.67682236  0.3541576  -0.19733764],[ 0.66951025  0.35038435 -0.23893884],[0.66840565 0.41718903 0.08192536],[ 0.57339483  0.39404973 -0.27663893],[0.65595227 0.53256804 0.25400341],[ 0.53967416  0.37805331 -0.60455614],[0.64329046 0.65992177 0.27318513],[ 0.53333306  0.34106058 -0.95191526],[0.63876665 0.69481111 0.28506187],[ 0.51877058  0.33077624 -1.03621542],[0.63844919 0.69491714 0.24983767],[ 0.52926695  0.32832482 -1.02883697],[0.63882375 0.67909509 0.26010859],[ 0.53474104  0.33718058 -0.95944595],[0.60582858 0.71570647 0.12057718],[ 0.55519778  0.70684707 -0.12068222],[0.55774957 0.87763333 0.30648497],[ 0.57253373  0.90067124 -0.03895288],[0.5036974  1.00238526 0.61548692],[0.56891966 1.06611776 0.14237958],[0.48561153 1.02365625 0.64425737],[0.5495159  1.08817494 0.15831968],[0.543257   1.06446111 0.58841318],[0.62304807 1.14163029 0.02959464]
[ 0.68665165  0.33188501 -0.25975659],[ 0.68556762  0.30900913 -0.22703505],[ 0.68557584  0.30853099 -0.22711667],[ 0.6854912   0.30810076 -0.22720352],[ 0.67860925  0.30757219 -0.26341552],[ 0.67379212  0.30600017 -0.26348916],[ 0.66865915  0.30435449 -0.2635594 ],[ 0.66181922  0.30712077 -0.06573223],[ 0.6440866   0.30464453 -0.25937468],[ 0.67711246  0.35178959 -0.19453438],[ 0.66970611  0.34820089 -0.24170406],[0.66582447 0.41447207 0.08813834],[ 0.57184756  0.39316452 -0.31811678],[0.65574515 0.52500337 0.37576216],[ 0.54110771  0.38788429 -0.66681349],[0.6438458  0.65359378 0.52864045],[ 0.52944672  0.31983784 -1.02226973],[0.64194477 0.68487054 0.56981075],[ 0.51390612  0.30129513 -1.1082294 ],[0.64166087 0.68439603 0.5364567 ],[ 0.52447677  0.2936824  -1.10175276],[0.64117104 0.67309308 0.52034134],[ 0.53198153  0.30319855 -1.03036427],[0.60586041 0.71284878 0.12437855],[ 0.55549681  0.70596427 -0.12458612],[0.55826747 0.87684602 0.33267719],[ 0.57314336  0.90085894 -0.02218313],[0.5040344  1.00214672 0.6744653 ],[0.5692535  1.07010126 0.20420924],[0.48579454 1.02283347 0.70758879],[0.54990202 1.09160829 0.22605649],[0.54412204 1.06227827 0.65220934],[0.62452817 1.14252865 0.10047231]
[ 0.68709612  0.32981941 -0.26465625],[ 0.68612498  0.30740017 -0.2367845 ],[ 0.68618715  0.30699092 -0.2368242 ],[ 0.68613672  0.30661109 -0.23691675],[ 0.67913467  0.3059099  -0.27989265],[ 0.67427748  0.30432341 -0.27994585],[ 0.66912985  0.30262664 -0.28002521],[ 0.66202354  0.30566502 -0.07959966],[ 0.64464509  0.30264848 -0.2845189 ],[ 0.67786348  0.34964922 -0.20096572],[ 0.67028672  0.34643298 -0.25842476],[0.66503447 0.41390309 0.08405524],[ 0.57216525  0.39336625 -0.34039563],[0.65605551 0.52419335 0.36689252],[ 0.54090965  0.39257854 -0.69705397],[0.64700603 0.65360254 0.52551401],[ 0.53004253  0.31201881 -1.06093812],[0.64547688 0.68636703 0.56342185],[ 0.51671988  0.28668636 -1.15211487],[0.64632237 0.68334323 0.53094876],[ 0.52752209  0.27897418 -1.14340007],[0.64512211 0.67322934 0.5175122 ],[ 0.53417891  0.28988019 -1.06865561],[0.60445511 0.71305507 0.12536052],[ 0.55599165  0.70878673 -0.12559935],[0.55775094 0.87671918 0.35341966],[0.5727517  0.90809989 0.03795733],[0.50290561 1.00358319 0.68925762],[0.56245393 1.08325028 0.30373523],[0.4837071  1.02546716 0.72203672],[0.54237664 1.10637689 0.3295185 ],[0.54363644 1.06116986 0.66330653],[0.62191921 1.14838624 0.2029659 ]
[ 0.68725199  0.32884392 -0.26113924],[ 0.68646634  0.3067598  -0.23326889],[ 0.68658131  0.30640599 -0.2333093 ],[ 0.6865766   0.30608991 -0.23340067],[ 0.6794467   0.30514458 -0.2748591 ],[ 0.67451441  0.3035509  -0.27491084],[ 0.66931581  0.30182713 -0.27497685],[ 0.66278517  0.30526835 -0.07535318],[ 0.64489716  0.30122524 -0.27061301],[ 0.67819858  0.34890002 -0.1978067 ],[ 0.67047727  0.34554145 -0.25323233],[0.66511714 0.41374081 0.08438513],[ 0.57115394  0.3926926  -0.3246496 ],[0.65758663 0.52344221 0.35597438],[ 0.54201841  0.38995865 -0.67230815],[0.64817393 0.64926857 0.49049205],[ 0.52929485  0.30807617 -1.03031898],[0.6468783  0.68263125 0.52414542],[ 0.51714724  0.28318754 -1.11864233],[0.64737749 0.68074918 0.49168324],[ 0.52695787  0.27603421 -1.11000538],[0.64646262 0.668854   0.48208457],[ 0.533243    0.28672889 -1.03765464],[0.6045661  0.71299702 0.12566847],[ 0.55612218  0.70879567 -0.12590984],[0.55722684 0.87661183 0.33478951],[0.57266939 0.90958291 0.02363418],[0.50233072 1.00390804 0.66064781],[0.55638868 1.08297431 0.27885777],[0.48276681 1.02536488 0.6921916 ],[0.53590906 1.10567594 0.30365154],[0.54354    1.06115162 0.63464659],[0.61338151 1.14833558 0.18036374]
[ 0.68740094  0.3285473  -0.2595441 ],[ 0.68655843  0.30650941 -0.23107679],[ 0.68669802  0.30610129 -0.23112383],[ 0.68672621  0.30569598 -0.23121397],[ 0.67970765  0.30496916 -0.2712141 ],[ 0.67488301  0.30338752 -0.27127078],[ 0.66959167  0.301662   -0.2713328 ],[ 0.66291463  0.30474785 -0.07350716],[ 0.64531249  0.30078319 -0.26335418],[ 0.67917103  0.34823176 -0.19604068],[ 0.67163783  0.34506541 -0.24987657],[0.66643167 0.41370195 0.08432595],[ 0.57151902  0.39249706 -0.31600717],[0.65840602 0.52368301 0.34383246],[ 0.54246908  0.39030874 -0.65165424],[0.64827144 0.64973587 0.47484112],[ 0.52847648  0.3004328  -0.99042493],[0.64626414 0.68396622 0.5098542 ],[ 0.52048272  0.27130333 -1.07577443],[0.64704794 0.68169785 0.477626  ],[ 0.52987373  0.26482654 -1.06324863],[0.64644516 0.66966248 0.46633524],[ 0.53493553  0.27623451 -0.99580467],[0.60572922 0.7131722  0.12503298],[ 0.55623674  0.70880318 -0.12526883],[0.55618411 0.87665343 0.34143636],[0.57264501 0.91129833 0.00916562],[0.50117719 1.00025511 0.67214274],[0.55802464 1.08587539 0.24201258],[0.48162693 1.02099144 0.70437902],[0.53803265 1.10803044 0.26428717],[0.54036415 1.05760539 0.6488933 ],[0.61548549 1.15323901 0.14020056]
[ 0.68907112  0.32789013 -0.26170844],[ 0.68785733  0.3056635  -0.23445222],[ 0.68777531  0.30518597 -0.2344722 ],[ 0.68754876  0.30467686 -0.23456132],[ 0.68172169  0.30437136 -0.27542925],[ 0.67730153  0.30288169 -0.27548435],[ 0.67201221  0.3012287  -0.27555093],[ 0.66303307  0.30385283 -0.08080231],[ 0.64663786  0.30042323 -0.27170211],[ 0.68135297  0.34754258 -0.20010762],[ 0.67458016  0.34472218 -0.25526106],[0.66851938 0.41335866 0.07944157],[ 0.57186711  0.39277121 -0.32518473],[0.65812331 0.52483833 0.37406743],[ 0.54167914  0.3797358  -0.65691018],[0.64679903 0.64812046 0.57557899],[ 0.53069556  0.29453433 -0.97844994],[0.6440872  0.68406308 0.62503332],[ 0.52579552  0.26201499 -1.06123328],[0.64618105 0.67571813 0.59421754],[ 0.53460854  0.25784501 -1.04554093],[0.64534402 0.66756439 0.56974602],[ 0.53886664  0.26985255 -0.98231965],[0.60620016 0.71344018 0.12454599],[ 0.55651289  0.70890802 -0.1247706 ],[0.5561198  0.8764419  0.34610477],[0.5726732  0.9114219  0.01326889],[0.50045311 0.98929983 0.68446732],[0.5761112  1.09190524 0.25478128],[0.48122534 1.00756133 0.7175523 ],[0.55833572 1.11390233 0.27825436],[0.5362258  1.04756021 0.66198629],[0.63524711 1.16136169 0.15290084]
[ 0.69172525  0.32620656 -0.27511272],[ 0.68981916  0.30365142 -0.2478011 ],[ 0.68941253  0.30316156 -0.24780743],[ 0.68877941  0.30263603 -0.24790065],[ 0.68419385  0.30270976 -0.28920066],[ 0.68005925  0.30141827 -0.28925151],[ 0.67494905  0.29998162 -0.28931251],[ 0.66351926  0.30238152 -0.09402041],[ 0.64823401  0.29983178 -0.28429386],[ 0.68435836  0.34649885 -0.21396318],[ 0.67803055  0.34413135 -0.26934955],[0.66908532 0.41340446 0.06910585],[ 0.572806    0.39594549 -0.33602899],[0.65733409 0.52718437 0.37222615],[ 0.54296935  0.3826662  -0.65643513],[0.64692986 0.64801592 0.5882144 ],[ 0.53309506  0.29090339 -0.96285564],[0.64429694 0.68464726 0.63940179],[ 0.52875769  0.25786814 -1.04338396],[0.64621001 0.67631912 0.60968393],[ 0.53753507  0.2540215  -1.02868354],[0.64554989 0.66814905 0.58310795],[ 0.54145908  0.26600048 -0.96686852],[0.60631526 0.71539217 0.12425838],[ 0.55751759  0.71115774 -0.124472  ],[0.55609787 0.87647027 0.33972889],[0.57311165 0.91207683 0.03652463],[0.50009352 0.99036807 0.66574943],[0.57649863 1.0925051  0.29325542],[0.48063096 1.00985205 0.69757235],[0.55865461 1.11440802 0.31834716],[0.53603554 1.0479542  0.64064038],[0.63654727 1.16227698 0.1990588 ]
[ 0.6928491   0.32601878 -0.28442079],[ 0.6908114   0.30370003 -0.25782251],[ 0.69033593  0.30321774 -0.2578285 ],[ 0.68960285  0.30270451 -0.25792211],[ 0.68540615  0.30276552 -0.30192682],[ 0.68141162  0.30146962 -0.30197281],[ 0.67639315  0.30002612 -0.30205837],[ 0.66383487  0.3025375  -0.10368872],[ 0.64955485  0.2998659  -0.30671555],[ 0.68561006  0.34618407 -0.22265525],[ 0.67948997  0.34400538 -0.28164846],[0.66887546 0.41400483 0.06694571],[ 0.57745731  0.40016085 -0.36576805],[0.65576696 0.53221512 0.3884016 ],[ 0.5462954   0.38598773 -0.70707136],[0.64712512 0.64807421 0.61711663],[ 0.53379792  0.29430014 -1.03026533],[0.64476222 0.68482471 0.67038369],[ 0.5290302   0.26142469 -1.11632252],[0.64654225 0.6772024  0.64007032],[ 0.53836602  0.25751409 -1.10328782],[0.64627206 0.66858512 0.61166352],[ 0.54180282  0.26980248 -1.03564429],[0.60617912 0.71900523 0.12573604],[ 0.55985463  0.71674341 -0.12596215],[0.55586803 0.87649316 0.36802357],[0.57295913 0.91238272 0.05831777],[0.49867621 0.99108058 0.70007789],[0.57555473 1.09394419 0.34045681],[0.47887722 1.01048064 0.7322067 ],[0.5575133  1.11620736 0.36774069],[0.53420389 1.04940605 0.67186052],[0.63596892 1.16313493 0.24316891]
[ 0.69317621  0.32614836 -0.28400463],[ 0.69141418  0.30373782 -0.25468382],[ 0.69114429  0.30327958 -0.25474018],[ 0.69066161  0.30279085 -0.25483176],[ 0.68576992  0.30279896 -0.29674041],[ 0.68174481  0.30151498 -0.29681504],[ 0.67660934  0.30009222 -0.2969017 ],[ 0.66725141  0.30261767 -0.09597279],[ 0.65029418  0.29993063 -0.2887032 ],[ 0.68635893  0.34618691 -0.21935511],[ 0.67984593  0.34397408 -0.2753098 ],[0.67083782 0.41390449 0.07149018],[ 0.57880938  0.40000486 -0.34286365],[0.65741849 0.53229147 0.40266004],[ 0.54683572  0.38572317 -0.67384255],[0.65084767 0.64839596 0.62958634],[ 0.53498822  0.29769745 -0.99729329],[0.64927548 0.68317831 0.68364424],[ 0.52931917  0.26510096 -1.07969809],[0.65141422 0.67821568 0.65235579],[ 0.53982425  0.25992846 -1.06667328],[0.65028    0.66878134 0.62410665],[ 0.54209101  0.27264139 -1.00224948],[0.60841453 0.7187497  0.12552831],[ 0.56159592  0.71551096 -0.12574239],[0.55591404 0.8763718  0.35367113],[0.5732919  0.91198891 0.0434553 ],[0.49674559 0.99104804 0.68018341],[0.58180356 1.0946629  0.27577174],[0.4769524  1.00923514 0.71166784],[0.56405866 1.11683214 0.29842469],[0.52954924 1.05000532 0.65278405],[0.64074856 1.16427648 0.17170711]
